qid,answer,answer_start,answer_start_relative
98,Burst.com,64,0.8856548856548857
99,Kane Kramer,157,0.012474012474012475
100,7 June 1842,393,0.7960741548527808
101,piano technique and composition.,297,0.11886586695747
102,Delacroix,221,0.0054525627044711015
103,"Polonaise in A-flat major, Op. 53",152,0.3904034896401309
104,Pauline Viardot,253,0.5747001090512541
105,1952,367,0.4975798644724105
106,KJHK,66,0.7366892545982575
107,KUJH-LP,108,0.3978702807357212
108,public affairs,166,0.01452081316553727
109,KANU,195,0.6456921587608906
110,Weston Mill,172,0.7074074074074074
111,2007,73,0.09259259259259259
112,Drake Memorial Park,300,0.912962962962963
113,mid-19th century,4,0.7851851851851852
114,a brass plaque,372,0.5185185185185185
115,Second Anglo-Dutch War,18,0.8969616908850726
116,200,405,0.16776750330250992
117,200,405,0.631439894319683
118,Second Anglo-Dutch War,18,0.4147952443857332
119,Run,136,0.2311756935270806
120,Longwood district,314,0.3042291950886767
121,Edmond Halley,46,0.791268758526603
122,University of Oxford,15,0.6480218281036835
123,24,143,0.44201909959072305
124,Southern,213,0.015006821282401092
125,600,300,0.7176991150442478
126,seven,111,0.14778761061946902
127,seven,111,0.22212389380530972
128,"1,700",153,0.4584070796460177
129,"7,000",176,0.06017699115044248
130,Central African Republic,269,0.02956298200514139
131,Gabon,219,0.5462724935732648
132,Cameroon,238,0.5636246786632391
133,Central Africa,169,0.038560411311053984
134,af2,65,0.37660668380462725
135,2009,163,0.4154228855721393
136,"Chicago, Illinois",406,0.677860696517413
137,1987,101,0.9900497512437811
138,2000,5,0.15422885572139303
139,République du Congo,35,0.5634328358208955
140,1175,304,0.3065134099616858
141,13,395,0.011494252873563218
142,1339,184,0.210727969348659
143,Charles Grimaldi,75,0.9310344827586207
144,Monaco,148,0.0038314176245210726
145,Starpower: Beyoncé,28,0.006666666666666667
146,Starpower: Beyoncé,28,0.8295238095238096
147,since the age of 18,433,0.9561904761904761
148,June 2013,267,0.29428571428571426
149,70 staff,168,0.20666666666666667
150,Zeila,71,0.6656534954407295
151,"15,000",313,0.0
152,Djibouti,128,0.48328267477203646
153,the Red Sea,219,0.8500506585612969
154,the Walashma dynasty,30,0.42958459979736574
155,Giorgio Moroder,151,0.04838709677419355
156,1977,276,0.5256166982922201
157,1980s disco-pop,419,0.14895635673624288
158,1979,394,0.7030360531309298
159,synthesizers and drum machines,54,0.07685009487666034
160,pronunciation,147,0.10789766407119021
161,different varieties,267,0.0867630700778643
162,the same language,290,0.0
163,two standard varieties,351,0.764182424916574
164,Eastern and Western,106,0.5038932146829811
165,international law,185,0.6351351351351351
166,compacts,351,0.0
167,memoranda of understanding,459,0.4966216216216216
168,a sovereign state,106,0.08108108108108109
169,memoranda of understanding,459,0.7077702702702703
170,qualities as a pianist and composer,9,0.27923976608187134
171,Carnaval,138,0.5482456140350878
172,Alkan,389,0.22953216374269006
173,Ballade No. 2 in F major,179,0.0
174,Ballade No. 2 in F major,179,0.9634502923976608
175,University of Plymouth,280,0.5335120643431636
176,Roy Lowry,263,0.6809651474530831
177,British Firework Championships,59,0.12064343163538874
178,August 2006,170,0.3967828418230563
179,1992,331,0.9597855227882037
180,What's New,0,0.3293768545994065
181,John Wayne,468,0.05934718100890208
182,news,198,0.9376854599406528
183,Gamescom,28,0.6350148367952523
184,Laithwaite,92,0.05934718100890208
185,region,259,0.0
186,Francis Ford Coppola,202,0.3478802992518703
187,3 month,256,0.6184538653366584
188,October 2015,3,0.3179551122194514
189,Information Board,162,0.21072319201995013
190,Sichuan area,171,0.26580459770114945
191,mobile and terrestrial,40,0.7729885057471264
192,telecommunications,63,0.7270114942528736
193,the government,237,0.07614942528735633
194,major news and media,384,0.017241379310344827
195,the sixth edition,198,0.2795156407669021
196,Miscellaneous objections,448,0.20686175580222
197,"added a new chapter VII,",423,0.03229061553985873
198,George Jackson Mivart,17,0.15539858728557013
199,claimed it included false metaphysics,124,0.2330978809283552
200,primarily for commercial sale or sport.,400,0.7496522948539638
201,"the endangerment, extirpation and extinction of many animals",73,0.2865090403337969
202,extinction,107,0.4617524339360223
203,excessive hunting,9,0.09735744089012517
204,endangerment,77,0.14325452016689846
205,Secretariat of the Pacific Community,35,0.05064456721915286
206,Pacific Islands Forum,133,0.3784530386740331
207,Pratyabhijña,473,0.6758747697974218
208,United Nations,192,0.22007366482504603
209,Śvetāśvatara Upanishad,66,0.647329650092081
210,400 – 200 BCE,90,0.21301775147928995
211,three,393,0.30177514792899407
212,Vidyaranya,360,0.128698224852071
213,18 February 2016,363,0.9866863905325444
214,Commonwealth of Nations,160,0.7988165680473372
215,Continental Scandinavian languages,332,0.8643326039387309
216,neuter,244,0.15098468271334792
217,"the old ""umchwasho"" custom",69,0.0525164113785558
218,English,374,0.28665207877461707
219,three,20,0.3347921225382932
220,dancing and feasting,410,0.41487279843444225
221,19 August 2005,493,0.1780821917808219
222,all young girls,113,0.7103718199608611
223,"If any girl became pregnant outside of marriage, her family paid a fine",167,0.2446183953033268
224,the common gender,210,0.913894324853229
225,a 75 mm gun from Krupp,68,0.43992248062015504
226,"""Powerhouse Pepper""",352,0.11046511627906977
227,Basil Wolverton,313,0.24612403100775193
228,Miss America,202,0.9573643410852714
229,Spain,322,0.5251937984496124
230,Spanish Civil War,339,0.4028662420382166
231,"a new 88 mm design, the FlaK 36",275,0.0
232,Bofors,149,0.4028662420382166
233,"""big three""",67,0.267515923566879
234,Ziggy Pig and Silly Seal,484,0.9522292993630573
235,"Paleolithic, Mesolithic, and Neolithic",212,0.25254452926208654
236,farming,467,0.5190839694656488
237,"270,000 BC",91,0.7907124681933843
238,7th millennium BC,363,0.8371501272264631
239,Petralona cave,125,0.3155216284987277
240,Chasetown,0,0.2709551656920078
241,731 teams entered that season,164,0.9610136452241715
242,final 64,151,0.5399610136452242
243,Napoleon III,0,0.9005847953216374
244,Palace of Versailles,491,0.13255360623781676
245,Exposition Universelle,256,0.8582677165354331
246,April 1855,78,0.031496062992125984
247,2007–08 competition,68,0.3241469816272966
248,playing at Level 8 of English football,18,0.7020997375328084
249,Dunkirk,200,0.3346456692913386
250,the Nigerian military,462,0.05446293494704992
251,"""everything that was being done in those ministries""",139,0.3207261724659607
252,Old Charges,143,0.5279878971255674
253,to prevent protests,493,0.1588502269288956
254,the Nigerian government had forgotten about the extent of Shell's infiltration,277,0.4599092284417549
255,Regius Poem,172,0.9049844236760125
256,middle of the 19th century,10,0.04361370716510903
257,The fifteenth century,440,0.9345794392523364
258,Old Charges,143,0.4657320872274143
259,staff into all the main ministries of the Nigerian government,68,0.24299065420560748
260,Long Island Sound,254,0.4682698730794923
261,Quinnipiac,57,0.02004008016032064
262,Long Island Sound.,254,0.19839679358717435
263,New Haven Harbor,205,0.04876419505678023
264,Not all of these small streams,451,0.9378757515030061
265,Translation,0,0.46811224489795916
266,languages,238,0.22321428571428573
267,source languages,400,0.0
268,bridges,300,0.8558673469387755
269,monks,87,0.7244897959183674
270,the late 1960s,127,0.21908127208480566
271,experimental usefulness,227,0.43992932862190814
272,Tactical High Energy Laser,271,0.43992932862190814
273,the laser,57,0.991166077738516
274,in the next ten years,494,0.5017667844522968
275,2018,232,0.034764826175869123
276,$9.15 billion,303,0.48466257668711654
277,"September 2, 2014",49,0.6595092024539877
278,six,280,0.12269938650306748
279,120 million,433,0.9591002044989775
280,1930s,7,0.5391969407265774
281,six or eight,306,0.6634799235181644
282,frequent inaccuracy,141,0.4149139579349904
283,Web-based human translation,0,0.11854684512428298
284,artwork,162,0.8948374760994264
285,human,186,0.8449131513647643
286,"businesses, individuals, and enterprises",477,0.0
287,on-demand human-translation services,437,0.034119106699751864
288,1949,375,0.4975186104218362
289,three or four,255,0.15260545905707196
290,Mustafa Kemal,187,0.9711191335740073
291,anumāṇa,194,0.8245487364620938
292,several,23,0.008664259927797834
293,five,114,0.21949458483754514
294,perception,181,0.059927797833935016
295,new nations,32,0.05182341650671785
296,with the west,146,0.17754318618042225
297,the Republic of Turkey,86,0.746641074856046
298,Mustafa Kemal,187,0.10748560460652591
299,upamāṇa,215,0.10748560460652591
300,races,425,0.14960629921259844
301,cranial,107,0.09786276715410573
302,highly heritable,44,0.9628796400449944
303,Marana,385,0.3712035995500562
304,in the western foothills of the Santa Catalina Mountains,207,0.7075365579302587
305,"""the Middle East.",420,0.06930693069306931
306,Oro Valley,414,0.3801980198019802
307,Marana,361,0.31683168316831684
308,1916,182,0.2633663366336634
309,Oro Valley,414,0.7188118811881188
310,Norman Sauer,233,0.15247524752475247
311,Prussian,21,0.14455445544554454
312,the Aizu domain,52,0.21188118811881188
313,"The term ""Near and Middle East,""",0,0.01782178217821782
314,Hiramatsu Buhei,151,0.7920792079207921
315,Wakamatsu,340,0.5438144329896907
316,a few years before World War I,52,0.17783505154639176
317,military instructor and procurer of weapons,73,0.9664948453608248
318,(troops of British India,220,0.663659793814433
319,forensic anthropologists,452,0.6353092783505154
320,69%,342,0.10638297872340426
321,Advanced economies,0,0.29521276595744683
322,31%,270,0.2473404255319149
323,"""emerging"" and ""developing"" economies",81,0.9680851063829787
324,global economic growth,23,0.7127659574468085
325,Franco-Belgian,302,0.4569789674952199
326,1929,472,0.10707456978967496
327,Zig et Puce,211,0.7858508604206501
328,Rodolphe Töpffer,22,0.10707456978967496
329,19th,182,0.7074569789674953
330,Bishops,62,0.6152694610778443
331,all,282,0.9520958083832335
332,Communism,468,0.4431137724550898
333,five,217,0.5479041916167665
334,National Bishop Conferences,347,0.11976047904191617
335,2008,370,0.13259668508287292
336,"January 27, 2010",411,0.19889502762430938
337,1370,130,0.43646408839779005
338,156 years,255,0.40331491712707185
339,a culture that was distinctively Iranian,482,0.13535911602209943
340,June 2009,56,0.314365671641791
341,Hulagu Khan,53,0.07835820895522388
342,"70,000 citizens",342,0.42723880597014924
343,June 2009,56,0.7238805970149254
344,"More Quickly Than It Began, The Banking Crisis Is Over.""",239,0.6595149253731343
345,every ten years,26,0.39676840215439857
346,de facto method,319,0.23877917414721722
347,"4,042",392,0.02872531418312388
348,constituency boundaries,449,0.466786355475763
349,1991,121,0.7414721723518851
350,"£37,000",185,0.38760806916426516
351,1673,103,0.4610951008645533
352,"500,000",429,0.3976945244956772
353,Mogollon,287,0.5187319884726225
354,Forty Houses,510,0.7276657060518732
355,Big Houses,132,0.1211827435773146
356,northern,31,0.7343674260785265
357,Paquime,346,0.5026660203587009
358,armed forces,264,0.7561803199224431
359,salt,519,0.3431895298109549
360,saltpetre,83,0.5397111913357401
361,richest ship ever taken by pirates,489,0.38086642599277976
362,Ganj-i-Sawai,357,0.2851985559566787
363,"500,000 gold and silver pieces",429,0.8989169675090253
364,"£600,000",409,0.33393501805054154
365,Tepehuan,509,0.06893004115226338
366,Jornado,90,0.6728395061728395
367,"hunting, gathering, and farming",412,0.25205761316872427
368,rock,152,0.00411522633744856
369,Rio Grande,121,0.9331275720164609
370,John Lithgow,206,0.15759312320916904
371,John (also known as Jack) O'Brien,138,0.4836676217765043
372,Salai,272,0.03553008595988539
373,Bill Hader,250,0.044126074498567334
374,2008,45,0.31174785100286534
375,Essentials Jr.,54,0.3869132290184922
376,Abigail Breslin,161,0.8435277382645804
377,Louis Becke,328,0.1337126600284495
378,mid-19th,49,0.044096728307254626
379,palagi traders,97,0.6230440967283073
380,"Readings are approved or rejected by reason of the quality, and not the number, of their supporting witnesses",321,0.008620689655172414
381,The reading is less likely to be original that shows a disposition to smooth away difficulties.,201,0.43448275862068964
382,"""The reading is to be preferred that most fitly explains the existence of the others.""",442,0.04482758620689655
383,They proposed nine critical rules,127,0.7637931034482759
384,The reading is to be preferred that most fitly explains the existence of the others.,443,0.3793103448275862
385,the northern Dhambalin region,386,0.43169398907103823
386,the Laas Geel complex,184,0.761384335154827
387,northern,87,0.761384335154827
388,5000 years,53,0.9744990892531876
389,human figures,346,0.43169398907103823
390,Paris Agreements,7,0.9783715012722646
391,96.5%,276,0.09287531806615776
392,Hearst Corporation,103,0.583969465648855
393,67.7%,251,0.455470737913486
394,Chancellor Konrad Adenauer,366,0.4173027989821883
395,"Mysore, India",142,0.4508670520231214
396,Bill Hobby,365,0.10982658959537572
397,Houston Press,446,0.0
398,Houston Chronicle,25,0.3598265895953757
399,1995,288,0.4234104046242775
400,join the Federal Republic of Germany.,495,0.555939226519337
401,6:55 AM IST,520,0.9509668508287292
402,1974,277,0.332182320441989
403,daily newspaper,87,0.11671270718232044
404,1970,163,0.2341160220994475
405,the famous Conciergerie,461,0.5576407506702413
406,Brick Gothic architecture,256,0.6957104557640751
407,the kings of Navarre,155,0.8619302949061662
408,the master of the Teutonic order,206,0.5576407506702413
409,built in the 15th century,407,0.3806970509383378
410,approximately 2007 and later,322,0.07167235494880546
411,cameras that produce images only in JPEG format,486,0.5273037542662116
412,the Exif specification,144,0.3430034129692833
413,REI or SOS techniques,102,0.9300341296928327
414,Japanese,39,0.24061433447098976
415,Southern Rhodesia,66,0.5514450867052023
416,1965,303,0.7445086705202312
417,Kenyan,217,0.14682080924855492
418,1968,118,0.8890173410404625
419,Mau Mau Uprising,268,0.7895953757225433
420,King Alexander I Jagiellon,14,0.12801678908709338
421,legislative power from the king to the Sejm.,381,0.31374606505771246
422,greatly strengthened,293,0.41133263378803775
423,7,276,0.23504721930745015
424,Barcelona,0,0.06715634837355719
425,11,203,0.034653465346534656
426,three,316,0.24257425742574257
427,youth academy,351,0.3448844884488449
428,3 May 1505,3,0.9471947194719472
429,forbade the king to pass any new law without the consent of the representatives of the nobility,158,0.8910891089108911
430,elaborate,259,0.9022770398481973
431,Eugene Wong and Michael Stonebraker,54,0.26280834914611007
432,eighth,378,0.08444022770398482
433,1973,266,0.17647058823529413
434,QUEL,480,0.6413662239089184
435,Vishnu and Shiva,422,0.49417852522639066
436,Hindu gods,58,0.18758085381630013
437,INGRES,272,0.029754204398447608
438,INGRES moved to the emerging SQL standard,497,0.2186287192755498
439,monumental,218,0.9210866752910737
440,the plate spacing,50,0.2422279792746114
441,with a screw,280,0.538860103626943
442,reverse-biased semiconductor diodes,382,0.6230569948186528
443,depletion region,424,0.32124352331606215
444,phase-locked loops,493,0.0
445,1930s,70,0.12058465286236297
446,91%,482,0.7758830694275274
447,European history,308,0.04506699147381242
448,in the context with their contact with European culture in the Age of Discovery.,463,0.5651644336175395
449,to distinguish the time between what we call Middle Ages and time of the late Enlightenment,77,0.4470158343483557
450,710-800,401,0.41757610568638714
451,European history,308,0.4514646754738656
452,most selective,33,0.11372774267662263
453,690–760,368,0.1826536473291212
454,10.7%,173,0.04652498564043653
455,transubstantiation,236,0.03498190591073583
456,infrared,290,0.850422195416164
457,the mid-to-late 16th century,75,0.3944511459589867
458,controversy over the Eucharist,149,0.7237635705669482
459,bread and wine,279,0.5560916767189384
460,Christ,496,0.6031413612565445
461,minute,141,0.3204188481675393
462,light,73,0.1130890052356021
463,cave crickets,37,0.7057591623036649
464,acute,107,0.956020942408377
465,"a 2, 3 or 4-digit sequential number with no significance as to device properties",190,0.33547351524879615
466,2N,63,0.5601926163723917
467,a newer variant,502,0.9438202247191011
468,a three-terminal device,79,0.0
469,a p–n–p germanium switching transistor,402,0.6934189406099518
470,safety factors against under-exposure,148,0.695575221238938
471,effectively doubling the nominal speed of many black-and-white negative films,202,0.3185840707964602
472,1963,518,0.8123893805309734
473,1960,47,0.0
474,the DIN system,450,0.9646017699115044
475,late 18th and early 19th centuries,237,0.666289592760181
476,corruption,418,0.8371040723981901
477,through taxes,535,0.22850678733031674
478,corruption,418,0.18665158371040724
479,late 18th and early 19th centuries,237,0.10520361990950226
480,Greek Laïka scene,55,0.3784206411258796
481,Humira,103,0.8068803752931978
482,"Armageddon (rev.16:16), Blynd, Winter's Verge and Quadraphonic",487,0.6888193901485535
483,Michalis Hatzigiannis and Alkinoos Ioannidis,369,0.9483971853010165
484,"Anna Vissi, Evridiki, and Sarbel",141,0.02580140734949179
485,$75.6 billion,47,0.2893954410307235
486,Lipitor,415,0.41129831516352827
487,$141 billion,465,0.5887016848364718
488,2011,545,0.18533201189296333
489,"Hip Hop, R&B and reggae",175,0.578790882061447
490,Burning Up,125,0.14285714285714285
491,Everybody,66,0.7987577639751553
492,three,217,0.48198757763975153
493,Reggie Lucas of Warner Bros,386,0.03975155279503106
494,October 1982,94,0.19875776397515527
495,United States,211,0.16827852998065765
496,China,498,0.24661508704061896
497,17.9 billion,185,0.776595744680851
498,United Kingdom,299,0.218568665377176
499,USD 2.3 billion,158,0.844294003868472
500,Milan,488,0.16493955094991364
501,5 January,297,0.49568221070811747
502,his sick-bed,63,0.8298791018998273
503,1954,145,0.6588946459412781
504,1955,307,0.0034542314335060447
505,South Korean agents had learned about the plans,413,0.3668061366806137
506,revised his war plan,260,0.895397489539749
507,"coal, energy, iron and steel",97,0.07531380753138076
508,Rhee,221,0.7475592747559274
509,Hanover had to be secured against Franco-Prussian attack,280,0.2649930264993027
510,his commitments in Germany were counterbalanced by the demands of the British colonies overseas,114,0.518796992481203
511,21.9%,509,0.6879699248120301
512,France was very much interested in colonial expansion and was willing to exploit the vulnerability of Hanover in war against Great Britain,338,0.4718045112781955
513,Deyang,348,0.9304511278195489
514,Chengdu and Mianyang,261,0.013157894736842105
515,1950,133,0.9202239328201539
516,Panzhihua,356,0.5591322603219034
517,Hanover,4,0.5983205038488454
518,it had no desire to divert forces to central Europe for Prussia's interest.,482,0.23023093072078377
519,Kim Il-sung,16,0.3988803358992302
520,Virgil,500,0.8565072302558399
521,"1,686,840",259,0.05228031145717464
522,predicted trajectory,175,0.7942157953281423
523,May 2015,277,0.3492769744160178
524,News of the World,74,0.2436040044493882
525,Iliad and Odyssey,204,0.08838133068520357
526,during 2016,547,0.7010923535253227
527,38.21%,155,0.37735849056603776
528,2013,143,0.21251241310824232
529,12%,499,0.7348560079443893
530,Islam,369,0.2729693741677763
531,successfully aiming a shell to burst close to its target's future position,56,0.9454061251664447
532,the target's future position,414,0.9094540612516645
533,Christianity,0,0.33022636484687085
534,Range and height of the target,444,0.2729693741677763
535,'off-set' angles for range and elevation,236,0.26660761736049604
536,Eastern Orthodoxy,387,0.46058458813108943
537,Aeneas,261,0.4446412754650133
538,fulfill his destiny and arrive on the shores of Italy,287,0.22320637732506643
539,Aeneid,68,0.18423383525243578
540,the law enacted by the parliament,478,0.9873060648801129
541,Chief Minister of the Union Territory of Delhi,206,0.459802538787024
542,the Central government,140,0.8152327221438646
543,President of India,104,0.5881523272214386
544,Lieutenant Governor of the Union Territory of Delhi,34,0.5345557122708039
545,African-American,151,0.21406086044071354
546,heart attack,405,0.8971668415529905
547,nitrogen,515,0.23399790136411333
548,Oklahoma,13,0.7156348373557188
549,Director of Corrections,22,0.6012591815320042
550,Chihuahua City,354,0.7806324110671937
551,Ángel Trías,92,0.014822134387351778
552,Donato Guerra,232,0.014822134387351778
553,1875,63,0.1590909090909091
554,Ángel Trías,415,0.8656126482213439
555,Luxembourg's Yves Mersch,491,0.49214659685863876
556,June 2012,122,0.35776614310645727
557,June 2004,75,0.7905759162303665
558,ECB veteran who heads its legal department,256,0.005235602094240838
559,Antonio Sáinz de Vicuña,228,0.743455497382199
560,Stalin,134,0.08714285714285715
561,1956,506,0.7842857142857143
562,Ranković,179,0.9714285714285714
563,John A. Quitman,61,0.007142857142857143
564,on September 13,20,0.5485714285714286
565,George E. Pickett and James Longstreet,173,0.3922942206654991
566,Guadalupe Hidalgo,495,0.2504378283712785
567,the 4th Division,37,0.3415061295971979
568,State Security Service,196,0.047285464098073555
569,Soviet Union,74,0.1628721541155867
570,pace of reforms were uneven and ultimately proved insufficient,459,0.9595628415300547
571,British,545,0.6918032786885245
572,half of all males and 5% of females,393,0.2830601092896175
573,"Konbaung kings extended Restored Toungoo's administrative reforms, and achieved unprecedented levels of internal control and external expansion",0,0.1901639344262295
574,Burmese language,180,0.4557377049180328
575,the Collegium Carolinum,327,0.045746962115797
576,the Collegio di Spagna,232,0.5611150822015726
577,the Collegium Maius,497,0.34810578984989277
578,the Escuelas mayores,391,0.16082916368834882
579,1896,249,0.023588277340957826
580,Democrat,284,0.7357512953367875
581,1896,249,0.025906735751295335
582,1930,561,0.9896373056994818
583,1889.,124,0.924006908462867
584,the late Middle Ages,3,0.5267702936096719
585,1825,39,0.8429752066115702
586,medicine,53,0.9446280991735537
587,Tha Feelstyle,506,0.17355371900826447
588,Sweet Inspiration,126,0.19586776859504132
589,1999,306,0.003305785123966942
590,Robert Grant,167,0.9208494208494209
591,Edinburgh University,15,0.2722007722007722
592,New Zealand APRA Silver Scroll Award,266,0.8436293436293436
593,The Five Stars,38,0.0
594,Adam Sedgwick,553,0.3590733590733591
595,"""fags""",54,0.32335329341317365
596,Sabino Canyon Road and Vactor Ranch Trail,501,0.05588822355289421
597,"cleaning, cooking, and running errands",112,0.5169660678642715
598,Tucson Raceway Park,54,0.0
599,Moltacqua racetrack,420,0.39520958083832336
600,quarter horse races,305,0.9776833156216791
601,two,136,0.33581296493092455
602,The last boy to arrive,296,0.04675876726886291
603,1970s,422,0.7619553666312433
604,"""Boy, Up!"" or ""Boy, Queue!""",222,0.14771519659936239
605,2011,386,0.9868204283360791
606,spring,533,0.09060955518945635
607,2013,565,0.9868204283360791
608,"150,000",412,0.45304777594728174
609,Miami International,277,0.5881383855024712
610,the digestion and absorption of nutrients occurs,440,0.10727611940298508
611,"a site for acid hydrolysis of microbial and dietary protein, preparing these protein sources for further digestion and absorption in the small intestine.",229,0.0830223880597015
612,Adelphia Cable,93,0.8302238805970149
613,Time Warner Cable,27,0.46455223880597013
614,Microbes produced in the reticulo-rumen are also digested in the small intestine,490,0.2891791044776119
615,a monogastric stomach,99,0.48159057437407954
616,The abomasum,0,0.9042709867452136
617,$17.6 billion,143,0.08541973490427099
618,second quarter of 2006,195,0.48159057437407954
619,Thomas Watson,60,0.7069219440353461
620,1,94,0.8187022900763359
621,June 2,160,0.7805343511450382
622,the U.S. Federal Communications Commission,224,0.6812977099236641
623,Sanders and Hubbard,28,0.933206106870229
624,gallows,464,0.8187022900763359
625,305,393,0.0
626,César Rodríguez,506,0.3894736842105263
627,the northwest,486,0.7210526315789474
628,Mozambique,119,0.8105263157894737
629,445,235,0.5473684210526316
630,Four,415,0.2576985413290113
631,474,107,0.3273905996758509
632,"17,364 km2",172,0.11183144246353323
633,four,198,0.22366288492706646
634,Republic of South Africa,87,0.004862236628849271
635,821/822 CE,3,0.23047619047619047
636,Jokhang temple in Lhasa,205,0.17142857142857143
637,political control over Tibet,453,0.7847619047619048
638,Era of Fragmentation,426,0.2895238095238095
639,mid-9th century,282,0.9695238095238096
640,the priests,232,0.6328257191201354
641,purification,111,0.1116751269035533
642,near the temples,384,0.8037225042301185
643,animal and vegetable sacrifices,304,0.47377326565143824
644,Ziggurats,0,0.36209813874788493
645,symbiotic and parasitic relationships,451,0.5825242718446602
646,few micrometres,115,0.0
647,present in most of its habitats,287,0.4621359223300971
648,Bacteria,0,0.7766990291262136
649,spheres to rods and spirals,189,0.16893203883495145
650,Maurice Hilleman,149,0.30991735537190085
651,>95%,344,0.8667355371900827
652,>95%,344,0.03615702479338843
653,"an estimated 52 million cases of the disease, 17,400 cases of mental retardation, and 5,200 deaths",476,0.43491735537190085
654,1969,186,0.49173553719008267
655,opposed,246,0.40302267002518893
656,"""frogs"", ""krauts"" or ""hun""",202,0.6582703610411419
657,French and Germans,86,0.853904282115869
658,Angela Merkel,479,0.5507976490344249
659,le Worm,424,0.19311502938706968
660,an exposed hydroxyl group on the deoxyribose,137,0.3665480427046263
661,because new nucleotides are added via a dehydration reaction that uses the exposed 3' hydroxyl as a nucleophile,460,0.060498220640569395
662,an exposed phosphate group,251,0.18505338078291814
663,Tiel,197,0.2491103202846975
664,Franconian,57,0.8505338078291815
665,5th,243,0.11956521739130435
666,vadam,384,0.22644927536231885
