docno,text
25,"In terms of school casualties, thousands of school children died due to shoddy construction. In Mianyang City, seven schools collapsed, burying at least 1,700 people. At least 7,000 school buildings throughout the province collapsed. Another 700 students were buried in a school in Hanwang. At least 600 students and staff died at Juyuan Elementary School. Up to 1,300 children and teachers died at Beichuan Middle School."
26,"The Republic of the Congo (French: République du Congo), also known as Congo, Congo Republic, West Congo[citation needed], or Congo-Brazzaville, is a country located in Central Africa. It is bordered by five countries: Gabon to the west; Cameroon to the northwest; the Central African Republic to the northeast; the Democratic Republic of the Congo to the east and south; and the Angolan exclave of Cabinda to the southwest."
27,"From 2000 to 2009, the AFL had its own developmental league, the af2. The AFL played 22 seasons from 1987 to 2008; internal issues caused the league to cancel its 2009 season, though the af2 did play. Later that year both the AFL and af2 were dissolved and reorganized as a new corporation comprising teams from both leagues, and the AFL returned in 2010. The Arena Football League has its headquarters in Chicago, Illinois."
28,"The town was sacked in 1338 by French, Genoese and Monegasque ships (under Charles Grimaldi, who used the plunder to help found the principality of Monaco). On visiting Southampton in 1339, Edward III ordered that walls be built to 'close the town'. The extensive rebuilding—part of the walls dates from 1175—culminated in the completion of the western walls in 1380. Roughly half of the walls, 13 of the original towers, and six gates survive."
29,"The release of a video-game Starpower: Beyoncé was cancelled after Beyoncé pulled out of a $100 million with GateFive who alleged the cancellation meant the sacking of 70 staff and millions of pounds lost in development. It was settled out of court by her lawyers in June 2013 who said that they had cancelled because GateFive had lost its financial backers. Beyoncé also has had deals with American Express, Nintendo DS and L'Oréal since the age of 18."
30,"The Sultanate of Ifat, led by the Walashma dynasty with its capital at Zeila, ruled over parts of what is now eastern Ethiopia, Djibouti, and northern Somalia. The historian al-Umari records that Ifat was situated near the Red Sea coast, and states its size as 15 days travel by 20 days travel. Its army numbered 15,000 horsemen and 20,000 foot soldiers. Al-Umari also credits Ifat with seven ""mother cities"": Belqulzar, Kuljura, Shimi, Shewa, Adal, Jamme and Laboo."
31,"Various disco songs incorporated sounds produced with synthesizers and drum machines, and some compositions were entirely electronic; examples include Giorgio Moroder's late 1970s productions such as Donna Summer's hit single ""I Feel Love"" from 1977, Cerrone's ""Supernature"" (1977), Yellow Magic Orchestra's synth-disco-pop productions from Yellow Magic Orchestra (1978), Solid State Survivor (1979), and several early 1980s disco-pop productions by the Hi-NRG group Lime."
32,"Catalan dialects are relatively uniform, and are mutually intelligible. They are divided into two blocks, Eastern and Western, differing mostly in pronunciation. The terms ""Catalan"" and ""Valencian"" (respectively used in Catalonia and the Valencian Community) are two different varieties of the same language. There are two institutions regulating the two standard varieties, the Institute of Catalan Studies in Catalonia and the Valencian Academy of the Language in Valencia."
33,"One significant part of treaty making is that signing a treaty implies recognition that the other side is a sovereign state and that the agreement being considered is enforceable under international law. Hence, nations can be very careful about terming an agreement to be a treaty. For example, within the United States, agreements between states are compacts and agreements between states and the federal government or between agencies of the government are memoranda of understanding."
34,"Chopin's qualities as a pianist and composer were recognized by many of his fellow musicians. Schumann named a piece for him in his suite Carnaval, and Chopin later dedicated his Ballade No. 2 in F major to Schumann. Elements of Chopin's music can be traced in many of Liszt's later works. Liszt later transcribed for piano six of Chopin's Polish songs. A less fraught friendship was with Alkan, with whom he discussed elements of folk music, and who was deeply affected by Chopin's death."
35,"Outdoor events and festivals are held including the annual British Firework Championships in August, which attracts tens of thousands of people across the waterfront. In August 2006 the world record for the most amount of simultaneous fireworks was surpassed, by Roy Lowry of the University of Plymouth, over Plymouth Sound. Since 1992 the Music of the Night has been performed in the Royal Citadel by the 29 Commando Regiment and local performers to raise money for local and military charities."
36,"What's New was announced at Gamescom 2009 and was released on September 1, 2009, with PlayStation 3 system software 3.0. The feature was to replace the existing [Information Board], which displayed news from the PlayStation website associated with the user's region. The concept was developed further into a major PlayStation Network feature, which interacts with the [Status Indicator] to display a ticker of all content, excluding recently played content (currently in North America and Japan only)."
37,"In October 2015, TCM announced the launch of the TCM Wineclub, in which they teamed up with Laithwaite to provide a line of mail-order wines from famous vineyards such as famed writer-director-producer Francis Ford Coppola's winery. Wines are available in 3 month subscriptions, and can be selected as reds, whites, or a mixture of both. From the wines chosen, TCM also includes recommended movies to watch with each, such as a ""True Grit"" wine, to be paired with the John Wayne film of the same name."
38,"Immediately after the earthquake event, mobile and terrestrial telecommunications were cut to the affected and surrounding area, with all internet capabilities cut to the Sichuan area too. Elements of telecommunications were restored by the government piece by piece over the next number of months as the situation in the Sichuan province gradually improved. Eventually, a handful of major news and media websites were made accessible online in the region, albeit with dramatically pared back webpages."
39,"In January 1871, George Jackson Mivart's On the Genesis of Species listed detailed arguments against natural selection, and claimed it included false metaphysics. Darwin made extensive revisions to the sixth edition of the Origin (this was the first edition in which he used the word ""evolution"" which had commonly been associated with embryological development, though all editions concluded with the word ""evolved""), and added a new chapter VII, Miscellaneous objections, to address Mivart's arguments."
40,"However, excessive hunting and poachers have also contributed heavily to the endangerment, extirpation and extinction of many animals, such as the quagga, the great auk, Steller's sea cow, the thylacine, the bluebuck, the Arabian oryx, the Caspian and Javan tigers, the markhor, the Sumatran rhinoceros, the bison, the North American cougar, the Altai argali sheep, the Asian elephant and many more, primarily for commercial sale or sport. All these animals have been hunted to endangerment or extinction."
41,"Tuvalu participates in the work of Secretariat of the Pacific Community, or SPC (sometimes Pacific Community) and is a member of the Pacific Islands Forum, the Commonwealth of Nations and the United Nations. Tuvalu has maintained a mission at the United Nations in New York City since 2000. Tuvalu is a member of the World Bank and the Asian Development Bank. On 18 February 2016 Tuvalu signed the Pacific Islands Development Forum Charter and formally joined the Pacific Islands Development Forum (PIDF)."
42,"Early history of Shaivism is difficult to determine. However, the Śvetāśvatara Upanishad (400 – 200 BCE) is considered to be the earliest textual exposition of a systematic philosophy of Shaivism. Shaivism is represented by various philosophical schools, including non-dualist (abheda), dualist (bheda), and non-dualist-with-dualist (bhedābheda) perspectives. Vidyaranya in his works mentions three major schools of Shaiva thought— Pashupata Shaivism, Shaiva Siddhanta and Pratyabhijña (Kashmir Shaivism)."
43,"Standard Dutch uses three genders to differentiate between natural gender and three when discerning grammatical gender. But for most non-Belgian speakers, the masculine and feminine genders have merged to form the common gender (de), while the neuter (het) remains distinct as before. This gender system is similar to those of most Continental Scandinavian languages. As in English, but to a lesser degree, the inflectional grammar of the language (e.g., adjective and noun endings) has simplified over time."
44,"The Reed Dance today is not an ancient ceremony but a development of the old ""umchwasho"" custom. In ""umchwasho"", all young girls were placed in a female age-regiment. If any girl became pregnant outside of marriage, her family paid a fine of one cow to the local chief. After a number of years, when the girls had reached a marriageable age, they would perform labour service for the Queen Mother, ending with dancing and feasting. The country was under the chastity rite of ""umchwasho"" until 19 August 2005."
45,"Germany's high-altitude needs were originally going to be filled by a 75 mm gun from Krupp, designed in collaboration with their Swedish counterpart Bofors, but the specifications were later amended to require much higher performance. In response Krupp's engineers presented a new 88 mm design, the FlaK 36. First used in Spain during the Spanish Civil War, the gun proved to be one of the best anti-aircraft guns in the world, as well as particularly deadly against light, medium, and even early heavy tanks."
46,"While no other Timely character would achieve the success of these ""big three"", some notable heroes—many of which continue to appear in modern-day retcon appearances and flashbacks—include the Whizzer, Miss America, the Destroyer, the original Vision, and the Angel. Timely also published one of humor cartoonist Basil Wolverton's best-known features, ""Powerhouse Pepper"", as well as a line of children's funny-animal comics featuring popular characters like Super Rabbit and the duo Ziggy Pig and Silly Seal."
47,"The earliest evidence of the presence of human ancestors in the southern Balkans, dated to 270,000 BC, is to be found in the Petralona cave, in the Greek province of Macedonia. All three stages of the stone age (Paleolithic, Mesolithic, and Neolithic) are represented in Greece, for example in the Franchthi Cave. Neolithic settlements in Greece, dating from the 7th millennium BC, are the oldest in Europe by several centuries, as Greece lies on the route via which farming spread from the Near East to Europe."
48,"Chasetown, whilst playing at Level 8 of English football during the 2007–08 competition, are the lowest-ranked team to play in the Third Round Proper (final 64, of 731 teams entered that season). Chasetown was then a member of the Southern League Division One Midlands (a lower level within the Southern Football League), when they lost to Football League Championship (Level 2) team Cardiff City, the eventual FA Cup runners-up that year. Their success earned the lowly organisation over £60,000 in prize money."
49,"Napoleon III, since the Crimean War Britain's closest ally, visited London in April 1855, and from 17 to 28 August the same year Victoria and Albert returned the visit. Napoleon III met the couple at Dunkirk and accompanied them to Paris. They visited the Exposition Universelle (a successor to Albert's 1851 brainchild the Great Exhibition) and Napoleon I's tomb at Les Invalides (to which his remains had only been returned in 1840), and were guests of honour at a 1,200-guest ball at the Palace of Versailles."
50,"In 2010, a leaked cable revealed that Shell claims to have inserted staff into all the main ministries of the Nigerian government and know ""everything that was being done in those ministries"", according to Shell's top executive in Nigeria. The same executive also boasted that the Nigerian government had forgotten about the extent of Shell's infiltration. Documents released in 2009 (but not used in the court case) reveal that Shell regularly made payments to the Nigerian military in order to prevent protests."
51,"Since the middle of the 19th century, Masonic historians have sought the origins of the movement in a series of similar documents known as the Old Charges, dating from the Regius Poem in about 1425 to the beginning of the 18th century. Alluding to the membership of a lodge of operative masons, they relate a mythologised history of the craft, the duties of its grades, and the manner in which oaths of fidelity are to be taken on joining. The fifteenth century also sees the first evidence of ceremonial regalia."
52,"The city is drained by three rivers; the West, Mill, and Quinnipiac, named in order from west to east. The West River discharges into West Haven Harbor, while the Mill and Quinnipiac rivers discharge into New Haven Harbor. Both harbors are embayments of Long Island Sound. In addition, several smaller streams flow through the city's neighborhoods, including Wintergreen Brook, the Beaver Ponds Outlet, Wilmot Brook, Belden Brook, and Prospect Creek. Not all of these small streams have continuous flow year-round."
53,"Translation has served as a school of writing for many authors. Translators, including monks who spread Buddhist texts in East Asia, and the early modern European translators of the Bible, in the course of their work have shaped the very languages into which they have translated. They have acted as bridges for conveying knowledge between cultures; and along with ideas, they have imported from the source languages, into their own languages, loanwords and calques of grammatical structures, idioms and vocabulary."
54,"Another potential weapon system for anti-aircraft use is the laser. Although air planners have imagined lasers in combat since the late 1960s, only the most modern laser systems are currently reaching what could be considered ""experimental usefulness"". In particular the Tactical High Energy Laser can be used in the anti-aircraft and anti-missile role. If current developments continue, some[who?] believe it is reasonable to suggest that lasers will play a major role in air defence starting in the next ten years."
55,"During his annual state-of-the-nation address on September 2, 2014, President of Mexico Enrique Peña Nieto unveiled plans for a new international airport to ease the city's notorious air traffic congestion, tentatively slated for a 2018 opening. The new airport, which would have six runways, will cost $9.15 billion and would be built on vacant federal land east of Mexico City International Airport. Goals are to eventually handle 120 million passengers a year, which would make it the busiest airport in the world."
56,"In the 1930s, record companies began issuing collections of 78 rpm records by one performer or of one type of music in specially assembled albums, typically with artwork on the front cover and liner notes on the back or inside cover. Most albums included three or four records, with two sides each, making six or eight tunes per album. When the 12-inch vinyl LP era began in 1949, the single record often had the same or similar number of tunes as a typical album of 78s, and was still often referred to as an ""album""."
57,"Web-based human translation is generally favored by companies and individuals that wish to secure more accurate translations. In view of the frequent inaccuracy of machine translations, human translation remains the most reliable, most accurate form of translation available. With the recent emergence of translation crowdsourcing, translation-memory techniques, and internet applications, translation agencies have been able to provide on-demand human-translation services to businesses, individuals, and enterprises."
58,"From the death of the Near East new nations were able to rise from the ashes, notably the Republic of Turkey. Paradoxically it now aligned itself with the west rather than with the east. Mustafa Kemal, its founder, a former Ottoman high-ranking officer, was insistent on this social revolution, which, among other changes, liberated women from the strait rules still in effect in most Arabic-speaking countries. The demise of the political Near East now left a gap where it had been, into which stepped the Middle East."
59,"The Mīmāṃsā school has several subschools defined by epistemology. The Prābhākara subschool of Mīmāṃsā considered five epistemically reliable means to gaining knowledge: pratyakṣa (perception), anumāṇa (inference), upamāṇa (comparison and analogy), arthāpatti (postulation, derivation from circumstances), and śabda (word, testimony of past or present reliable experts). The Kumārila Bhaṭṭa sub-school of Mīmāṃsā added sixth to its canon of reliable epistemology - anupalabdi (non-perception, negative/cognitive proof)."
60,"Similarly, forensic anthropologists draw on highly heritable morphological features of human remains (e.g. cranial measurements) to aid in the identification of the body, including in terms of race. In a 1992 article, anthropologist Norman Sauer noted that anthropologists had generally abandoned the concept of race as a valid representation of human biological diversity, except for forensic anthropologists. He asked, ""If races don't exist, why are forensic anthropologists so good at identifying them?"" He concluded:"
61,"The expansive area northwest of the city limits is diverse, ranging from the rural communities of Catalina and parts of the town of Marana, the small suburb of Picture Rocks, the affluent town of Oro Valley in the western foothills of the Santa Catalina Mountains, and residential areas in the northeastern foothills of the Tucson Mountains. Continental Ranch (Marana), Dove Mountain (Marana), and Rancho Vistoso (Oro Valley) are all masterplanned communities located in the Northwest, where thousands of residents live."
62,"The term ""Near and Middle East,"" held the stage for a few years before World War I. It proved to be less acceptable to a colonial point of view that saw the entire region as one. In 1916 Captain T.C. Fowle, 40th Pathans (troops of British India), wrote of a trip he had taken from Karachi to Syria just before the war. The book does not contain a single instance of ""Near East."" Instead, the entire region is considered ""the Middle East."" The formerly Near Eastern sections of his trip are now ""Turkish"" and not Ottoman."
63,"In the same war, the Prussian Edward Schnell served the Aizu domain as a military instructor and procurer of weapons. He was granted the Japanese name Hiramatsu Buhei (平松武兵衛), which inverted the characters of the daimyo's name Matsudaira. Hiramatsu (Schnell) was given the right to wear swords, as well as a residence in the castle town of Wakamatsu, a Japanese wife, and retainers. In many contemporary references, he is portrayed wearing a Japanese kimono, overcoat, and swords, with Western riding trousers and boots."
64,"Advanced economies led global economic growth prior to the financial crisis with ""emerging"" and ""developing"" economies lagging behind. The crisis completely overturned this relationship. The International Monetary Fund found that ""advanced"" economies accounted for only 31% of global GDP while emerging and developing economies accounted for 69% of global GDP from 2007 to 2014. In the tables, the names of emergent economies are shown in boldface type, while the names of developed economies are in Roman (regular) type."
65,"The francophone Swiss Rodolphe Töpffer produced comic strips beginning in 1827, and published theories behind the form. Cartoons appeared widely in newspapers and magazines from the 19th century. The success of Zig et Puce in 1925 popularized the use of speech balloons in European comics, after which Franco-Belgian comics began to dominate. The Adventures of Tintin, with its signature clear line style, was first serialized in newspaper comics supplements beginning in 1929, and became an icon of Franco-Belgian comics."
66,"Some critiqued Paul VI's decision; the newly created Synod of Bishops had an advisory role only and could not make decisions on their own, although the Council decided exactly that. During the pontificate of Paul VI, five such synods took place, and he is on record of implementing all their decisions. Related questions were raised about the new National Bishop Conferences, which became mandatory after Vatican II. Others questioned his Ostpolitik and contacts with Communism and the deals he engaged in for the faithful."
67,"The U.S. recession that began in December 2007 ended in June 2009, according to the U.S. National Bureau of Economic Research (NBER) and the financial crisis appears to have ended about the same time. In April 2009 TIME magazine declared ""More Quickly Than It Began, The Banking Crisis Is Over."" The United States Financial Crisis Inquiry Commission dates the crisis to 2008. President Barack Obama declared on January 27, 2010, ""the markets are now stabilized, and we've recovered most of the money we spent on the banks."""
68,"Following the fracture of the Mongol Empire in 1256, Hulagu Khan, grandson of Genghis Khan, established the Ilkhanate in Iran. In 1370, yet another conqueror, Timur, followed the example of Hulagu, establishing the Timurid Empire which lasted for another 156 years. In 1387, Timur ordered the complete massacre of Isfahan, reportedly killing 70,000 citizens. The Ilkhans and the Timurids soon came to adopt the ways and customs of the Iranians, choosing to surround themselves with a culture that was distinctively Iranian."
69,"Namibia conducts a census every ten years. After independence the first Population and Housing Census was carried out in 1991, further rounds followed in 2001 and 2011. The data collection method is to count every person resident in Namibia on the census reference night, wherever they happen to be. This is called the de facto method. For enumeration purposes the country is demarcated into 4,042 enumeration areas. These areas do not overlap with constituency boundaries to get reliable data for election purposes as well."
70,"Outstanding debts were also agreed and the company permitted to export 250 tons of saltpetre. Again in 1673, Banks successfully negotiated another contract for 700 tons of saltpetre at £37,000 between the king and the company. So urgent was the need to supply the armed forces in the United Kingdom, America and elsewhere that the authorities sometimes turned a blind eye on the untaxed sales. One governor of the company was even reported as saying in 1864 that he would rather have the saltpetre made than the tax on salt."
71,"Every continued in pursuit and managed to overhaul Ganj-i-Sawai, which resisted strongly before eventually striking. Ganj-i-Sawai carried enormous wealth and, according to contemporary East India Company sources, was carrying a relative of the Grand Mughal, though there is no evidence to suggest that it was his daughter and her retinue. The loot from the Ganj-i-Sawai had a total value between £325,000 and £600,000, including 500,000 gold and silver pieces, and has become known as the richest ship ever taken by pirates."
72,"Between AD 300 and 1300 in the northern part of the state along the wide, fertile valley on the San Miguel River the Casas Grandes (Big Houses) culture developed into an advanced civilization. The Casas Grandes civilization is part of a major prehistoric archaeological culture known as Mogollon which is related to the Ancestral Pueblo culture. Paquime was the center of the Casas Grandes civilization. Extensive archaeological evidence shows commerce, agriculture, and hunting at Paquime and Cuarenta Casas (Forty Houses)."
73,"During the 14th century in the northeastern part of the state nomad tribes by the name of Jornado hunted bison along the Rio Grande; they left numerous rock paintings throughout the northeastern part of the state. When the Spanish explorers reached this area they found their descendants, Suma and Manso tribes. In the southern part of the state, in a region known as Aridoamerica, Chichimeca people survived by hunting, gathering, and farming between AD 300 and 1300. The Chichimeca are the ancestors of the Tepehuan people."
74,"""Funday Night at the Movies"" was replaced in 2008 by ""Essentials Jr."", a youth-oriented version of its weekly series The Essentials (originally hosted by actors Abigail Breslin and Chris O'Donnell, then by John Lithgow from 2009 to 2011, and then by Bill Hader starting with the 2011 season), which included such family-themed films as National Velvet, Captains Courageous and Yours, Mine and Ours, as well as more eclectic selections as Sherlock, Jr., The Music Box, Harvey, Mutiny on the Bounty and The Man Who Knew Too Much."
75,"Trading companies became active in Tuvalu in the mid-19th century; the trading companies engaged palagi traders who lived on the islands. John (also known as Jack) O'Brien was the first European to settle in Tuvalu, he became a trader on Funafuti in the 1850s. He married Salai, the daughter of the paramount chief of Funafuti. Louis Becke, who later found success as a writer, was a trader on Nanumanga from April 1880 until the trading-station was destroyed later that year in a cyclone. He then became a trader on Nukufetau."
76,"Brooke Foss Westcott (1825–1901) and Fenton J. A. Hort (1828–1892) published an edition of the New Testament in Greek in 1881. They proposed nine critical rules, including a version of Bengel's rule, ""The reading is less likely to be original that shows a disposition to smooth away difficulties."" They also argued that ""Readings are approved or rejected by reason of the quality, and not the number, of their supporting witnesses"", and that ""The reading is to be preferred that most fitly explains the existence of the others."""
77,"Ancient rock paintings in Somalia which date back to 5000 years have been found in the northern part of the country, depicting early life in the territory. The most famous of these is the Laas Geel complex, which contains some of the earliest known rock art on the African continent and features many elaborate pastoralist sketches of animal and human figures. In other places, such as the northern Dhambalin region, a depiction of a man on a horse is postulated as being one of the earliest known examples of a mounted huntsman."
78,"In the Paris Agreements of 23 October 1954, France offered to establish an independent ""Saarland"", under the auspices of the Western European Union (WEU), but on 23 October 1955 in the Saar Statute referendum the Saar electorate rejected this plan by 67.7% to 32.3% (out of a 96.5% turnout: 423,434 against, 201,975 for) despite the public support of Federal German Chancellor Konrad Adenauer for the plan. The rejection of the plan by the Saarlanders was interpreted as support for the Saar to join the Federal Republic of Germany."
79,"Houston is served by the Houston Chronicle, its only major daily newspaper with wide distribution. The Hearst Corporation, which owns and operates the Houston Chronicle, bought the assets of the Houston Post—its long-time rival and main competition—when Houston Post ceased operations in 1995. The Houston Post was owned by the family of former Lieutenant Governor Bill Hobby of Houston. The only other major publication to serve the city is the Houston Press—a free alternative weekly with a weekly readership of more than 300,000."
80,"Over 90 weeklies, fortnightlies and quarterlies are published in Sanskrit. Sudharma, a daily newspaper in Sanskrit, has been published out of Mysore, India, since 1970, while Sanskrit Vartman Patram and Vishwasya Vrittantam started in Gujarat during the last five years. Since 1974, there has been a short daily news broadcast on state-run All India Radio. These broadcasts are also made available on the internet on AIR's website. Sanskrit news is broadcast on TV and on the internet through the DD National channel at 6:55 AM IST."
81,"The Palais des Papes in Avignon is the best complete large royal palace, alongside the Royal palace of Olite, built during the 13th and 14th centuries for the kings of Navarre. The Malbork Castle built for the master of the Teutonic order is an example of Brick Gothic architecture. Partial survivals of former royal residences include the Doge's Palace of Venice, the Palau de la Generalitat in Barcelona, built in the 15th century for the kings of Aragon, or the famous Conciergerie, former palace of the kings of France, in Paris."
82,"The CIPA DC-004 standard requires that Japanese manufacturers of digital still cameras use either the REI or SOS techniques, and DC-008 updates the Exif specification to differentiate between these values. Consequently, the three EI techniques carried over from ISO 12232:1998 are not widely used in recent camera models (approximately 2007 and later). As those earlier techniques did not allow for measurement from images produced with lossy compression, they cannot be used at all on cameras that produce images only in JPEG format."
83,"Britain's remaining colonies in Africa, except for self-governing Southern Rhodesia, were all granted independence by 1968. British withdrawal from the southern and eastern parts of Africa was not a peaceful process. Kenyan independence was preceded by the eight-year Mau Mau Uprising. In Rhodesia, the 1965 Unilateral Declaration of Independence by the white minority resulted in a civil war that lasted until the Lancaster House Agreement of 1979, which set the terms for recognised independence in 1980, as the new nation of Zimbabwe."
84,"On 3 May 1505 King Alexander I Jagiellon granted the Act of ""Nihil novi nisi commune consensu"" (Latin: ""I accept nothing new except by common consent""). This forbade the king to pass any new law without the consent of the representatives of the nobility, in Sejm and Senat assembled, and thus greatly strengthened the nobility's political position. Basically, this act transferred legislative power from the king to the Sejm. This date commonly marks the beginning of the First Rzeczpospolita, the period of a szlachta-run ""Commonwealth""."
85,"Barcelona is one of the most supported teams in the world, and has the largest social media following in the world among sports teams. Barcelona's players have won a record number of Ballon d'Or awards (11), as well as a record number of FIFA World Player of the Year awards (7). In 2010, the club made history when three players who came through its youth academy (Messi, Iniesta and Xavi) were chosen as the three best players in the world in the FIFA Ballon d'Or awards, an unprecedented feat for players from the same football school."
86,"Ronald Inden writes that by the 8th century CE symbols of Hindu gods ""replaced the Buddha at the imperial centre and pinnacle of the cosmo-political system, the image or symbol of the Hindu god comes to be housed in a monumental temple and given increasingly elaborate imperial-style puja worship"". Although Buddhism did not disappear from India for several centuries after the eighth, royal proclivities for the cults of Vishnu and Shiva weakened Buddhism's position within the sociopolitical context and helped make possible its decline."
