qid,question,context,answer
17,"Which Indian monument, inspired by the Arc de Triomphe, was built in 1931?","The India Gate built in 1931 was inspired by the Arc de Triomphe in Paris. It is the national monument of India commemorating the 90,000 soldiers of the Indian Army who lost their lives while fighting for the British Raj in World War I and the Third Anglo-Afghan War.",The India Gate
18,The India Gate commemorates how many soldiers of past wars?,"The India Gate built in 1931 was inspired by the Arc de Triomphe in Paris. It is the national monument of India commemorating the 90,000 soldiers of the Indian Army who lost their lives while fighting for the British Raj in World War I and the Third Anglo-Afghan War.","90,000"
19,What year was the India Gate built?,"The India Gate built in 1931 was inspired by the Arc de Triomphe in Paris. It is the national monument of India commemorating the 90,000 soldiers of the Indian Army who lost their lives while fighting for the British Raj in World War I and the Third Anglo-Afghan War.",1931
20,Who laid the foundation stone of New Delhi?,"The foundation stone of the city was laid by George V, Emperor of India during the Delhi Durbar of 1911. It was designed by British architects, Sir Edwin Lutyens and Sir Herbert Baker. The new capital was inaugurated on 13 February 1931, by India's Viceroy Lord Irwin.",George V
21,Who designed the foundation stone of the city of New Delhi?,"The foundation stone of the city was laid by George V, Emperor of India during the Delhi Durbar of 1911. It was designed by British architects, Sir Edwin Lutyens and Sir Herbert Baker. The new capital was inaugurated on 13 February 1931, by India's Viceroy Lord Irwin.",Sir Edwin Lutyens and Sir Herbert Baker
22,In what year was the foundation stone of New Delhi laid?,"The foundation stone of the city was laid by George V, Emperor of India during the Delhi Durbar of 1911. It was designed by British architects, Sir Edwin Lutyens and Sir Herbert Baker. The new capital was inaugurated on 13 February 1931, by India's Viceroy Lord Irwin.",1911
23,Who inaugurated the city of New Delhi?,"The foundation stone of the city was laid by George V, Emperor of India during the Delhi Durbar of 1911. It was designed by British architects, Sir Edwin Lutyens and Sir Herbert Baker. The new capital was inaugurated on 13 February 1931, by India's Viceroy Lord Irwin.",Viceroy Lord Irwin
24,On what date was New Delhi inaugurated?,"The foundation stone of the city was laid by George V, Emperor of India during the Delhi Durbar of 1911. It was designed by British architects, Sir Edwin Lutyens and Sir Herbert Baker. The new capital was inaugurated on 13 February 1931, by India's Viceroy Lord Irwin.",13 February 1931
25,Who was responsible for constructing the Jantar Mantar?,"Jantar Mantar located in Connaught Place was built by Maharaja Jai Singh II of Jaipur. It consists of 13 architectural astronomy instruments. The primary purpose of the observatory was to compile astronomical tables, and to predict the times and movements of the sun, moon and planets.",Maharaja Jai Singh II of Jaipur
26,The Jantar Mantar consists of how many architectural astronomy instruments?,"Jantar Mantar located in Connaught Place was built by Maharaja Jai Singh II of Jaipur. It consists of 13 architectural astronomy instruments. The primary purpose of the observatory was to compile astronomical tables, and to predict the times and movements of the sun, moon and planets.",13
27,What is the name of the observatory built in Connaught Place by Maharaja Jai Singh II of Jaipur?,"Jantar Mantar located in Connaught Place was built by Maharaja Jai Singh II of Jaipur. It consists of 13 architectural astronomy instruments. The primary purpose of the observatory was to compile astronomical tables, and to predict the times and movements of the sun, moon and planets.",Jantar Mantar
28,What is one of the primary purposes of the Jantar Mantar observatory?,"Jantar Mantar located in Connaught Place was built by Maharaja Jai Singh II of Jaipur. It consists of 13 architectural astronomy instruments. The primary purpose of the observatory was to compile astronomical tables, and to predict the times and movements of the sun, moon and planets.",compile astronomical tables
29,In what area of New Delhi is the Jantar Mantar observatory located?,"Jantar Mantar located in Connaught Place was built by Maharaja Jai Singh II of Jaipur. It consists of 13 architectural astronomy instruments. The primary purpose of the observatory was to compile astronomical tables, and to predict the times and movements of the sun, moon and planets.",Connaught Place
30,How many blocks west of Second Avenue does E 122nd Street run?,"E 122nd Street runs four blocks (2,250 feet (690 m)) west from the intersection of Second Avenue and terminates at the intersection of Madison Avenue at Marcus Garvey Memorial Park. This segment runs in East Harlem and crosses portions of Third Avenue, Lexington, and Park (Fourth Avenue).",four
31,What is another name for Fourth Avenue?,"E 122nd Street runs four blocks (2,250 feet (690 m)) west from the intersection of Second Avenue and terminates at the intersection of Madison Avenue at Marcus Garvey Memorial Park. This segment runs in East Harlem and crosses portions of Third Avenue, Lexington, and Park (Fourth Avenue).",Park
32,"A segment of what road crosses portions of Third Avenue, Lexington, and Park and runs in East Harlem?","E 122nd Street runs four blocks (2,250 feet (690 m)) west from the intersection of Second Avenue and terminates at the intersection of Madison Avenue at Marcus Garvey Memorial Park. This segment runs in East Harlem and crosses portions of Third Avenue, Lexington, and Park (Fourth Avenue).",E 122nd Street
33,At which intersection does E 122nd Street terminate?,"E 122nd Street runs four blocks (2,250 feet (690 m)) west from the intersection of Second Avenue and terminates at the intersection of Madison Avenue at Marcus Garvey Memorial Park. This segment runs in East Harlem and crosses portions of Third Avenue, Lexington, and Park (Fourth Avenue).",Madison Avenue
34,At which park does E 122nd Street end?,"E 122nd Street runs four blocks (2,250 feet (690 m)) west from the intersection of Second Avenue and terminates at the intersection of Madison Avenue at Marcus Garvey Memorial Park. This segment runs in East Harlem and crosses portions of Third Avenue, Lexington, and Park (Fourth Avenue).",Marcus Garvey Memorial Park
35,What are international tribunals and arbiters often called upon to resolve in regards to treaties?,"International tribunals and arbiters are often called upon to resolve substantial disputes over treaty interpretations. To establish the meaning in context, these judicial bodies may review the preparatory work from the negotiation and drafting of the treaty as well as the final, signed treaty itself.",substantial disputes over treaty interpretations
36,For what purpose might an international tribunal review the preparatory work from the negotiation and drafting of a treaty?,"International tribunals and arbiters are often called upon to resolve substantial disputes over treaty interpretations. To establish the meaning in context, these judicial bodies may review the preparatory work from the negotiation and drafting of the treaty as well as the final, signed treaty itself.",To establish the meaning in context
37,"In addition to the final, signed treaty what else might arbiters review to establish the meaning of a treaty in context?","International tribunals and arbiters are often called upon to resolve substantial disputes over treaty interpretations. To establish the meaning in context, these judicial bodies may review the preparatory work from the negotiation and drafting of the treaty as well as the final, signed treaty itself.",the preparatory work from the negotiation and drafting of the treaty
38,What judicial bodies might be called upon to resolve disputes pertaining to the interpretation of treaties?,"International tribunals and arbiters are often called upon to resolve substantial disputes over treaty interpretations. To establish the meaning in context, these judicial bodies may review the preparatory work from the negotiation and drafting of the treaty as well as the final, signed treaty itself.",International tribunals and arbiters
39,"In addition to the preparatory work from the drafting and negotiation of a treaty, what might arbiters review when resolving a dispute over the interpretation of a treaty?","International tribunals and arbiters are often called upon to resolve substantial disputes over treaty interpretations. To establish the meaning in context, these judicial bodies may review the preparatory work from the negotiation and drafting of the treaty as well as the final, signed treaty itself.","the final, signed treaty itself"
40,Which will prevail in a conflict between international and domestic law?,"According to the preamble in The Law of Treaties, treaties are a source of international law. If an act or lack thereof is condemned under international law, the act will not assume international legality even if approved by internal law. This means that in case of a conflict with domestic law, international law will always prevail.",international law
41,What are started to be a source of international law in the preamble in The Law of Treaties?,"According to the preamble in The Law of Treaties, treaties are a source of international law. If an act or lack thereof is condemned under international law, the act will not assume international legality even if approved by internal law. This means that in case of a conflict with domestic law, international law will always prevail.",treaties
42,An act or lack thereof cannot be made legal under what law even if made legal under internal law?,"According to the preamble in The Law of Treaties, treaties are a source of international law. If an act or lack thereof is condemned under international law, the act will not assume international legality even if approved by internal law. This means that in case of a conflict with domestic law, international law will always prevail.",international law
43,Approval under what law will not make an act or lack thereof legal if condemned under international law?,"According to the preamble in The Law of Treaties, treaties are a source of international law. If an act or lack thereof is condemned under international law, the act will not assume international legality even if approved by internal law. This means that in case of a conflict with domestic law, international law will always prevail.",internal law
44,The preamble of what states that treaties are a source of international law?,"According to the preamble in The Law of Treaties, treaties are a source of international law. If an act or lack thereof is condemned under international law, the act will not assume international legality even if approved by internal law. This means that in case of a conflict with domestic law, international law will always prevail.",The Law of Treaties
45,Who owns two dogs with four eyes each in Hindu mythology?,"In Hindu mythology, Yama, the god of death owns two watch dogs who have four eyes. They are said to watch over the gates of Naraka. Hunter god Muthappan from North Malabar region of Kerala has a hunting dog as his mount. Dogs are found in and out of the Muthappan Temple and offerings at the shrine take the form of bronze dog figurines.",Yama
46,What does Muthappan use for his hunting dog for?,"In Hindu mythology, Yama, the god of death owns two watch dogs who have four eyes. They are said to watch over the gates of Naraka. Hunter god Muthappan from North Malabar region of Kerala has a hunting dog as his mount. Dogs are found in and out of the Muthappan Temple and offerings at the shrine take the form of bronze dog figurines.",mount
47,What is the name of the god of death?,"In Hindu mythology, Yama, the god of death owns two watch dogs who have four eyes. They are said to watch over the gates of Naraka. Hunter god Muthappan from North Malabar region of Kerala has a hunting dog as his mount. Dogs are found in and out of the Muthappan Temple and offerings at the shrine take the form of bronze dog figurines.",Yama
48,What do Yama's dogs watch over?,"In Hindu mythology, Yama, the god of death owns two watch dogs who have four eyes. They are said to watch over the gates of Naraka. Hunter god Muthappan from North Malabar region of Kerala has a hunting dog as his mount. Dogs are found in and out of the Muthappan Temple and offerings at the shrine take the form of bronze dog figurines.",the gates of Naraka
49,Offerings at the Muthappan Temple shrine take on what form?,"In Hindu mythology, Yama, the god of death owns two watch dogs who have four eyes. They are said to watch over the gates of Naraka. Hunter god Muthappan from North Malabar region of Kerala has a hunting dog as his mount. Dogs are found in and out of the Muthappan Temple and offerings at the shrine take the form of bronze dog figurines.",bronze dog figurines.
50,How much money did Beyoncé contribute at the beginning of her Hurricane Katrina foundation?,"After Hurricane Katrina in 2005, Beyoncé and Rowland founded the Survivor Foundation to provide transitional housing for victims in the Houston area, to which Beyoncé contributed an initial $250,000. The foundation has since expanded to work with other charities in the city, and also provided relief following Hurricane Ike three years later.","$250,000."
51,"How much cash did Beyonce put into the venture, the Survivor Foundation at startup?","After Hurricane Katrina in 2005, Beyoncé and Rowland founded the Survivor Foundation to provide transitional housing for victims in the Houston area, to which Beyoncé contributed an initial $250,000. The foundation has since expanded to work with other charities in the city, and also provided relief following Hurricane Ike three years later.","250,000"
52,How much did Beyonce initially contribute to the foundation?,"After Hurricane Katrina in 2005, Beyoncé and Rowland founded the Survivor Foundation to provide transitional housing for victims in the Houston area, to which Beyoncé contributed an initial $250,000. The foundation has since expanded to work with other charities in the city, and also provided relief following Hurricane Ike three years later.","$250,000"
53,What hurricane years later after Katrina did the organization provide support for?,"After Hurricane Katrina in 2005, Beyoncé and Rowland founded the Survivor Foundation to provide transitional housing for victims in the Houston area, to which Beyoncé contributed an initial $250,000. The foundation has since expanded to work with other charities in the city, and also provided relief following Hurricane Ike three years later.",Ike
54,What foundation did Beyoncé start after Hurricane Katrina?,"After Hurricane Katrina in 2005, Beyoncé and Rowland founded the Survivor Foundation to provide transitional housing for victims in the Houston area, to which Beyoncé contributed an initial $250,000. The foundation has since expanded to work with other charities in the city, and also provided relief following Hurricane Ike three years later.",Survivor Foundation
55,What did people fear in 1930?,"After the First World War, however, it became apparent that the number of mixed-race people was growing at a faster rate than the white population, and by 1930 fear of the ""half-caste menace"" undermining the White Australia ideal from within was being taken as a serious concern. Dr. Cecil Cook, the Northern Territory Protector of Natives, noted that:","""half-caste menace"""
56,What did this menace undermine?,"After the First World War, however, it became apparent that the number of mixed-race people was growing at a faster rate than the white population, and by 1930 fear of the ""half-caste menace"" undermining the White Australia ideal from within was being taken as a serious concern. Dr. Cecil Cook, the Northern Territory Protector of Natives, noted that:",the White Australia ideal
57,Who noted this particular fear?,"After the First World War, however, it became apparent that the number of mixed-race people was growing at a faster rate than the white population, and by 1930 fear of the ""half-caste menace"" undermining the White Australia ideal from within was being taken as a serious concern. Dr. Cecil Cook, the Northern Territory Protector of Natives, noted that:",Dr. Cecil Cook
58,Which race was growing faster after the First World War?,"After the First World War, however, it became apparent that the number of mixed-race people was growing at a faster rate than the white population, and by 1930 fear of the ""half-caste menace"" undermining the White Australia ideal from within was being taken as a serious concern. Dr. Cecil Cook, the Northern Territory Protector of Natives, noted that:",mixed-race people
59,Who is Dr. Cecil Cook?,"After the First World War, however, it became apparent that the number of mixed-race people was growing at a faster rate than the white population, and by 1930 fear of the ""half-caste menace"" undermining the White Australia ideal from within was being taken as a serious concern. Dr. Cecil Cook, the Northern Territory Protector of Natives, noted that:","the Northern Territory Protector of Natives,"
60,How many people were listed as missing?,"According to Chinese state officials, the quake caused 69,180 known deaths including 68,636 in Sichuan province; 18,498 people are listed as missing, and 374,176 injured, but these figures may further increase as more reports come in.[dated info] This estimate includes 158 earthquake relief workers who were killed in landslides as they tried to repair roads.","18,498"
61,How many people were injured?,"According to Chinese state officials, the quake caused 69,180 known deaths including 68,636 in Sichuan province; 18,498 people are listed as missing, and 374,176 injured, but these figures may further increase as more reports come in.[dated info] This estimate includes 158 earthquake relief workers who were killed in landslides as they tried to repair roads.","374,176"
62,What were the 158 relief workers doing when they were killed?,"According to Chinese state officials, the quake caused 69,180 known deaths including 68,636 in Sichuan province; 18,498 people are listed as missing, and 374,176 injured, but these figures may further increase as more reports come in.[dated info] This estimate includes 158 earthquake relief workers who were killed in landslides as they tried to repair roads.",tried to repair roads
63,How many died in Sichuan?,"According to Chinese state officials, the quake caused 69,180 known deaths including 68,636 in Sichuan province; 18,498 people are listed as missing, and 374,176 injured, but these figures may further increase as more reports come in.[dated info] This estimate includes 158 earthquake relief workers who were killed in landslides as they tried to repair roads.","68,636"
64,How many deaths were reported?,"According to Chinese state officials, the quake caused 69,180 known deaths including 68,636 in Sichuan province; 18,498 people are listed as missing, and 374,176 injured, but these figures may further increase as more reports come in.[dated info] This estimate includes 158 earthquake relief workers who were killed in landslides as they tried to repair roads.","69,180"
65,What digit are Saint Helena phone numbers prefixed with?,"Saint Helena has the international calling code +290 which, since 2006, Tristan da Cunha shares. Saint Helena telephone numbers changed from 4 to 5 digits on 1 October 2013 by being prefixed with the digit ""2"", i.e. 2xxxx, with the range 5xxxx being reserved for mobile numbering, and 8xxx being used for Tristan da Cunha numbers (these still shown as 4 digits).",2
66,How many digits did Saint Helena change their phone numbers to?,"Saint Helena has the international calling code +290 which, since 2006, Tristan da Cunha shares. Saint Helena telephone numbers changed from 4 to 5 digits on 1 October 2013 by being prefixed with the digit ""2"", i.e. 2xxxx, with the range 5xxxx being reserved for mobile numbering, and 8xxx being used for Tristan da Cunha numbers (these still shown as 4 digits).",5
67,What is the international calling code for Saint Helena?,"Saint Helena has the international calling code +290 which, since 2006, Tristan da Cunha shares. Saint Helena telephone numbers changed from 4 to 5 digits on 1 October 2013 by being prefixed with the digit ""2"", i.e. 2xxxx, with the range 5xxxx being reserved for mobile numbering, and 8xxx being used for Tristan da Cunha numbers (these still shown as 4 digits).",+290
68,Who shares the calling code +290 with Saint Helena?,"Saint Helena has the international calling code +290 which, since 2006, Tristan da Cunha shares. Saint Helena telephone numbers changed from 4 to 5 digits on 1 October 2013 by being prefixed with the digit ""2"", i.e. 2xxxx, with the range 5xxxx being reserved for mobile numbering, and 8xxx being used for Tristan da Cunha numbers (these still shown as 4 digits).",Tristan da Cunha
69,When did Saint Helena change the amount of digits in their phone numbers?,"Saint Helena has the international calling code +290 which, since 2006, Tristan da Cunha shares. Saint Helena telephone numbers changed from 4 to 5 digits on 1 October 2013 by being prefixed with the digit ""2"", i.e. 2xxxx, with the range 5xxxx being reserved for mobile numbering, and 8xxx being used for Tristan da Cunha numbers (these still shown as 4 digits).",1 October 2013
70,What is the name of an honor given to collegiate debate teams?,"The University of Kansas has had more teams (70) compete in the National Debate Tournament than any other university. Kansas has won the tournament 5 times (1954, 1970, 1976, 1983, and 2009) and had 12 teams make it to the final four. Kansas trails only Northwestern (13), Dartmouth (6), and Harvard (6) for most tournaments won. Kansas also won the 1981–82 Copeland Award.",Copeland Award
71,How many times have KU teams appeared in the National Debate Tournament?,"The University of Kansas has had more teams (70) compete in the National Debate Tournament than any other university. Kansas has won the tournament 5 times (1954, 1970, 1976, 1983, and 2009) and had 12 teams make it to the final four. Kansas trails only Northwestern (13), Dartmouth (6), and Harvard (6) for most tournaments won. Kansas also won the 1981–82 Copeland Award.",70
72,How many times has KU been one of the last four teams competing at the National Debate Championships?,"The University of Kansas has had more teams (70) compete in the National Debate Tournament than any other university. Kansas has won the tournament 5 times (1954, 1970, 1976, 1983, and 2009) and had 12 teams make it to the final four. Kansas trails only Northwestern (13), Dartmouth (6), and Harvard (6) for most tournaments won. Kansas also won the 1981–82 Copeland Award.",12
73,What school has won the most national debate championships?,"The University of Kansas has had more teams (70) compete in the National Debate Tournament than any other university. Kansas has won the tournament 5 times (1954, 1970, 1976, 1983, and 2009) and had 12 teams make it to the final four. Kansas trails only Northwestern (13), Dartmouth (6), and Harvard (6) for most tournaments won. Kansas also won the 1981–82 Copeland Award.",Northwestern
74,How many times has KU won the national debate championship?,"The University of Kansas has had more teams (70) compete in the National Debate Tournament than any other university. Kansas has won the tournament 5 times (1954, 1970, 1976, 1983, and 2009) and had 12 teams make it to the final four. Kansas trails only Northwestern (13), Dartmouth (6), and Harvard (6) for most tournaments won. Kansas also won the 1981–82 Copeland Award.",5
75,What was the Earl of Cambridge's first name?,"Prior to King Henry's departure for the Battle of Agincourt in 1415, the ringleaders of the ""Southampton Plot""—Richard, Earl of Cambridge, Henry Scrope, 3rd Baron Scrope of Masham, and Sir Thomas Grey of Heton—were accused of high treason and tried at what is now the Red Lion public house in the High Street. They were found guilty and summarily executed outside the Bargate.",Richard
76,"What group did the men accused of high treason, including Henry Scrope and Sir Thomas Grey, lead?","Prior to King Henry's departure for the Battle of Agincourt in 1415, the ringleaders of the ""Southampton Plot""—Richard, Earl of Cambridge, Henry Scrope, 3rd Baron Scrope of Masham, and Sir Thomas Grey of Heton—were accused of high treason and tried at what is now the Red Lion public house in the High Street. They were found guilty and summarily executed outside the Bargate.",Southampton Plot
77,Outside of what structure did the execution of the Southampton Plot leaders take place?,"Prior to King Henry's departure for the Battle of Agincourt in 1415, the ringleaders of the ""Southampton Plot""—Richard, Earl of Cambridge, Henry Scrope, 3rd Baron Scrope of Masham, and Sir Thomas Grey of Heton—were accused of high treason and tried at what is now the Red Lion public house in the High Street. They were found guilty and summarily executed outside the Bargate.",the Bargate
78,What battle did King Henry leave for in 1415?,"Prior to King Henry's departure for the Battle of Agincourt in 1415, the ringleaders of the ""Southampton Plot""—Richard, Earl of Cambridge, Henry Scrope, 3rd Baron Scrope of Masham, and Sir Thomas Grey of Heton—were accused of high treason and tried at what is now the Red Lion public house in the High Street. They were found guilty and summarily executed outside the Bargate.",Battle of Agincourt
79,What is the public house where the men from Southampton Plot were tried called now?,"Prior to King Henry's departure for the Battle of Agincourt in 1415, the ringleaders of the ""Southampton Plot""—Richard, Earl of Cambridge, Henry Scrope, 3rd Baron Scrope of Masham, and Sir Thomas Grey of Heton—were accused of high treason and tried at what is now the Red Lion public house in the High Street. They were found guilty and summarily executed outside the Bargate.",Red Lion
80,What is the most popular variety of bariis?,"Qado or lunch is often elaborate. Varieties of bariis (rice), the most popular probably being basmati, usually serve as the main dish. Spices like cumin, cardamom, cloves, cinnamon, and garden sage are used to aromatize these different rice delicacies. Somalis eat dinner as late as 9 pm. During Ramadan, supper is often served after Tarawih prayers; sometimes as late as 11 pm.",basmati
81,What is bariis in English?,"Qado or lunch is often elaborate. Varieties of bariis (rice), the most popular probably being basmati, usually serve as the main dish. Spices like cumin, cardamom, cloves, cinnamon, and garden sage are used to aromatize these different rice delicacies. Somalis eat dinner as late as 9 pm. During Ramadan, supper is often served after Tarawih prayers; sometimes as late as 11 pm.",rice
82,After what event during Ramadan is dinner served?,"Qado or lunch is often elaborate. Varieties of bariis (rice), the most popular probably being basmati, usually serve as the main dish. Spices like cumin, cardamom, cloves, cinnamon, and garden sage are used to aromatize these different rice delicacies. Somalis eat dinner as late as 9 pm. During Ramadan, supper is often served after Tarawih prayers; sometimes as late as 11 pm.",Tarawih prayers
83,When is the latest a Somali might eat dinner during Ramadan?,"Qado or lunch is often elaborate. Varieties of bariis (rice), the most popular probably being basmati, usually serve as the main dish. Spices like cumin, cardamom, cloves, cinnamon, and garden sage are used to aromatize these different rice delicacies. Somalis eat dinner as late as 9 pm. During Ramadan, supper is often served after Tarawih prayers; sometimes as late as 11 pm.",11 pm
84,What is the English word for qado?,"Qado or lunch is often elaborate. Varieties of bariis (rice), the most popular probably being basmati, usually serve as the main dish. Spices like cumin, cardamom, cloves, cinnamon, and garden sage are used to aromatize these different rice delicacies. Somalis eat dinner as late as 9 pm. During Ramadan, supper is often served after Tarawih prayers; sometimes as late as 11 pm.",lunch
85,How many satellite constellations does the BeiDou Navigation Satellite System have?,"The BeiDou Navigation Satellite System (BDS, simplified Chinese: 北斗卫星导航系统; traditional Chinese: 北斗衛星導航系統; pinyin: Běidǒu wèixīng dǎoháng xìtǒng) is a Chinese satellite navigation system. It consists of two separate satellite constellations – a limited test system that has been operating since 2000, and a full-scale global navigation system that is currently under construction.",two separate satellite constellations
86,How long has the limited test system been operating?,"The BeiDou Navigation Satellite System (BDS, simplified Chinese: 北斗卫星导航系统; traditional Chinese: 北斗衛星導航系統; pinyin: Běidǒu wèixīng dǎoháng xìtǒng) is a Chinese satellite navigation system. It consists of two separate satellite constellations – a limited test system that has been operating since 2000, and a full-scale global navigation system that is currently under construction.",since 2000
87,How is the BeiDou Navigation Satellite System written in traditional Chinese?,"The BeiDou Navigation Satellite System (BDS, simplified Chinese: 北斗卫星导航系统; traditional Chinese: 北斗衛星導航系統; pinyin: Běidǒu wèixīng dǎoháng xìtǒng) is a Chinese satellite navigation system. It consists of two separate satellite constellations – a limited test system that has been operating since 2000, and a full-scale global navigation system that is currently under construction.",北斗衛星導航系統
88,What is the BeiDou Navigation Satellite System?,"The BeiDou Navigation Satellite System (BDS, simplified Chinese: 北斗卫星导航系统; traditional Chinese: 北斗衛星導航系統; pinyin: Běidǒu wèixīng dǎoháng xìtǒng) is a Chinese satellite navigation system. It consists of two separate satellite constellations – a limited test system that has been operating since 2000, and a full-scale global navigation system that is currently under construction.",a Chinese satellite navigation system
89,What are the two satellite constellations?,"The BeiDou Navigation Satellite System (BDS, simplified Chinese: 北斗卫星导航系统; traditional Chinese: 北斗衛星導航系統; pinyin: Běidǒu wèixīng dǎoháng xìtǒng) is a Chinese satellite navigation system. It consists of two separate satellite constellations – a limited test system that has been operating since 2000, and a full-scale global navigation system that is currently under construction.","a limited test system that has been operating since 2000, and a full-scale global navigation system"
90,Political instability has resulted in what type of economic activity?,"A long period of political instability has resulted in depressed economic activity, deteriorating social conditions, and increased macroeconomic imbalances. It takes longer on average to register a new business in Guinea-Bissau (233 days or about 33 weeks) than in any other country in the world except Suriname. [The Economist, Pocket World in Figures, 2008 Edition, London: Profile Books]",depressed
91,What is the one country that takes longer than Guinea-Bissau to register a business?,"A long period of political instability has resulted in depressed economic activity, deteriorating social conditions, and increased macroeconomic imbalances. It takes longer on average to register a new business in Guinea-Bissau (233 days or about 33 weeks) than in any other country in the world except Suriname. [The Economist, Pocket World in Figures, 2008 Edition, London: Profile Books]",Suriname
92,Political instability has resulted in what description of social conditions?,"A long period of political instability has resulted in depressed economic activity, deteriorating social conditions, and increased macroeconomic imbalances. It takes longer on average to register a new business in Guinea-Bissau (233 days or about 33 weeks) than in any other country in the world except Suriname. [The Economist, Pocket World in Figures, 2008 Edition, London: Profile Books]",deteriorating
93,What type of imbalances have increased as a result of the instability?,"A long period of political instability has resulted in depressed economic activity, deteriorating social conditions, and increased macroeconomic imbalances. It takes longer on average to register a new business in Guinea-Bissau (233 days or about 33 weeks) than in any other country in the world except Suriname. [The Economist, Pocket World in Figures, 2008 Edition, London: Profile Books]",macroeconomic
94,How long does it take to register a business in Guinea-Bissau?,"A long period of political instability has resulted in depressed economic activity, deteriorating social conditions, and increased macroeconomic imbalances. It takes longer on average to register a new business in Guinea-Bissau (233 days or about 33 weeks) than in any other country in the world except Suriname. [The Economist, Pocket World in Figures, 2008 Edition, London: Profile Books]",233 days or about 33 weeks
95,What was the name of the previously-patented music player from 1981?,"In September 2007, during a lawsuit with patent holding company Burst.com, Apple drew attention to a patent for a similar device that was developed in 1979. Kane Kramer applied for a UK patent for his design of a ""plastic music box"" in 1981, which he called the IXI. He was unable to secure funding to renew the US$120,000 worldwide patent, so it lapsed and Kramer never profited from his idea.",IXI
96,What patent holding company sued Apple in 2007?,"In September 2007, during a lawsuit with patent holding company Burst.com, Apple drew attention to a patent for a similar device that was developed in 1979. Kane Kramer applied for a UK patent for his design of a ""plastic music box"" in 1981, which he called the IXI. He was unable to secure funding to renew the US$120,000 worldwide patent, so it lapsed and Kramer never profited from his idea.",Burst.com
