qid,query,type
100,On what date did Delacroix write a letter based on his visit at Nohant?,Span
101,What two things did Chopin advise Viardot on?,Span
102,"Who wrote a letter on June 7, 1842 about a stay in Nohant?",Span
103,What is the example given of a work produced by Frédéric during calm summers at Nohant?,Span
104,Which of the two people that visited Chopin were tutored by him on piano?,Span
105,When did KJHK first broadcast?,Span
106,What is the name of the station operated by KU students?,Span
107,What is the name of an independent radio broadcast run out of KU?,Span
108,What kinds of programming appear on KUJH-LP?,Span
109,What are the call letters of the National Public Radio affiliate that broadcasts from KU?,Span
110,"Along with Efford, where else does the Plymouth City Council operate a cemetery?",Span
111,When did Ford Park Cemetery reopen?,Span
112,What is the name of the private cemetery in Plymouth?,Span
113,When did Ford Park Cemetery first operate?,Span
114,"In lieu of headstones, what grave markers are used at Drake Memorial Park?",Span
115,After what war did the English receive New Amsterdam?,Span
116,"In 1700, the Lenape Native American population had dwindled to how many?",Span
117,How many Lenape lived in the area in 1700?,Span
118,"After which war did England gain New York in exchange for Run, an Indonesian island?",Span
119,What was the name of the island the English traded to the Dutch in return for New Amsterdam?,Span
120,What district is the telescope set up in?,Span
121,Who set up an astronomical observatory on Saint Helena?,Span
122,What university did Edmond Halley attend?,Span
123,How many feet was the telescope that was set up in the observatory?,Span
124,What hemisphere of stars did Edmond Halley want to study with the telescope?,Span
125,How many were killed at the Juyuan Elementary School?,Span
126,How many schools collapsed in Mianyang City?,Span
127,How many schools collapsed in Mianyang City,Span
128,How many people were buried under rubble in Mianyang City?,Span
129,How many school buildings collapsed in the province?,Span
130,Which country lies on Congo's northeast border?,Span
131,Whic country lies on Congo's western border?,Span
132,Which country lies on Congo's northwest border?,Span
133,In what part of Africa is the Congo located?,Span
134,What was the name of the AFL development league?,Span
135,What Arena Football League season was cancelled?,Span
136,In what city and state is the Arena Football League based?,Span
137,When was the first AFL season played?,Span
138,When did the AFL development league begin?,Span
139,What is the French term for the Republic of the Congo?,Span
140,The oldest section of the original wall around the town dates from what year?,Span
141,How many of the original towers from Southampton's walls are still standing?,Span
142,What year did Edward III show up in Southampton and tell them to build walls?,Span
143,Who led the invasion of Southampton in the 14th century by the French and others?,Span
144,What principality did Grimaldi set up with the profits from plundering Southampton?,Span
145,What was the name of the video game that was cancelled for Beyonce?,Span
146,What was the name of the video game?,Span
147,When did Beyonce begin her deals with name brands?,Span
148,When was the disagreement settled out of court?,Span
149,How many people lost jobs when Beyonce left the video game deal?,Span
150,What was the capital of the Sultanate of Ifat?,Span
151,"According to al-Umari, how many cavalry did the Sultanate of Ifat have?",Span
152,"Along with parts of Ethiopia and Somalia, in what modern-day country was the Sultanate of Ifat located?",Span
153,Near what body of water did al-Umari say Ifat was located?,Span
154,What dynasty ruled the Sultanate of Ifat?,Span
155,"who produced Donna Summer's hit single ""I Feel Love""?",Span
156,"What year did Cerrone's ""Supernature"" get released?",Span
157,what sort of music did Hi-NRG group Lime produce?,Span
158,What year was solid state survivor released?,Span
159,What instruments did disco songs incorporate from house music?,Span
160,What is the basic difference between the dialects?,Span
161,What is the differenctiation between Catalan and Valencian?,Span
162,What are Catalan and Valencian assumed to be?,Span
163,What are Catalan and Valencian considered to be in the language?,Span
164,What is the division of Catalan dialects?,Span
165,Under what do all parties to a treaty recognize the provisions of the treaty are enforceable?,Span
166,What are agreements between states within the United States called?,Span
167,"In the United States, what are agreements between agencies of the federal government called?",Span
168,Nations can be careful about terming an agreement a treaty because it has the effect of recognizing that the other side is a what?,Span
169,What are agreements between states and the federal government called within the United States?,Span
170,What was recognized about Chopin from his musical peers?,Span
171,In what suite did Schumann name a work for Chopin?,Span
172,With who did Chopin feel comfortable speaking of folk music with?,Span
173,What piece did Chopin dedicate to Schumann?,Span
174,What piece of Chopin's work was dedicated to Schumann? ,Span
175,What institution did Roy Lowry work for?,Span
176,Who broke the world record for simultaneous fireworks?,Span
177,What notable event occurs each August?,Span
178,In what month and year was the world record for simultaneous fireworks broken?,Span
179,In what year did the Music of the Night begin?,Span
180,What new feature for PS3 was released in September of 2009?,Span
181,Who starred in True Grit?,Span
182,What type of information is disseminated through What's New?,Span
183,At what event did Sony announce What's New?,Span
184,Who was TCM's partner in the TCM Wineclub?,Span
185,What's geographical area does What's New tailor information to for each user?,Span
186,The winery of what notable director provided wines for TCM Wineclub?,Span
187,How long do TCM Wineclub subscriptions last?,Span
188,What month and year saw the introduction of the TCM Wineclub?,Span
189,What did What's New replace?,Span
190,Where were the internet cut?,Span
191,What kinds of telecommunications were cut?,Span
192,What was cut after the earthquake?,Span
193,Who restored communications over a period of months?,Span
194,What services were finally online again?,Span
195,"When did Charles Darwin first use the word ""evolution"" in On the Origin of Species?",Span
196,What was chapter VII entitled?,Span
197,What did Charles Darwin do to address Mivart's arguments?,Span
198,Who wrote On the Genesis of Species?,Span
199,What did On the Genesis of Species argue against natural selection?,Span
200,Why have poachers killed endangered animals?,Span
201,What has excessive hunting contributed heavily to?,Span
202,"What do Steller's sea cow, the bluebuck, and the Javan tigers all have in common?",Span
203,What contributes to endangerment?,Span
204,What have poachers contributed to hunting?,Span
205,In what group is Tuvalu involved?,Span
206,In which forum group is Tuvalu a member?,Span
207,What is the Kashmir Shaivism mentioned by Vidyaranya?,Span
208,To what world organization does Tuvalu belong?,Span
209,In what text is Shaivism recounted?,Span
210,When was the text on Shaivism written?,Span
211,How many major schools of Shaivism did Vidyaranya mention?,Span
212,Who reported the major schools of Shaivism?,Span
213,On what date did Tuvalu join the Pacific Islands Development Forum?,Span
214,In which British group is Tuvalu a member?,Span
215,The common/neuter system used in Dutch is a lot like the system used in what other language category?,Span
216,"Apart from the common gender in non-Belgian Dutch, what other gender do speakers use?",Span
217,From where did the Reed Dance originate?,Span
218,"In its simplified inflectional grammar, what language is Dutch similar to?",Span
219,How many genders does standard Dutch use for both natural and grammatical gender?,Span
220,What would the end of umchwasho be marked with?,Span
221,Until what date was Swaziland bound by umchwasho?,Span
222,Who became bound by umchwaso in Swaziland?,Span
223,What occurs during the custom of umchwaso in Swaziland?,Span
224,What gender does the majority of non-Belgian Dutch speakers use instead of the masculine and feminine?,Span
225,High altitude needs in Germany were going to be handled by what?,Span
226,What was the name of the humorous feature penned by Wolverton?,Span
227,What cartoon humorist did some high profile stories for Marvel in the early years?,Span
228,What early Marvel character may have been envisioned as a female counterpoint to Captain America?,Span
229,Where was the first place the FlaK 36 was used?,Span
230,What war was the FlaK first used in?,Span
231,"Because higher performance was needed, Krupp's workers designed what?",Span
232,Who also collaborated in the design of the 75 mm gun?,Span
233,The most popular early Marvel heroes were collectively and colloquially known as what?,Span
234,What duo of kid-themed characters were featured in early Marvel issues?,Span
235,The Franchthi cave has evidence of what 3 ancient eras?,Span
236,What activity led to Greece having some of the earliest Stone Age settlements?,Span
237,Humans in the Balkans have been dated to what year?,Span
238,Greece has evidence of Stone Age people during what time period?,Span
239,Evidence of the earliest humans were found in what subterranean formation?,Span
240,Who is the lowest rank to play in the  third round proper?,Span
241,How many teams competed that year? ,Span
242,What place did Chasetown come in?,Span
243,Who was Britains's closest ally following the Crimean War?,Span
244,Where were Victoria and Albert honored guests at ball thrown by Napoleon III?,Span
245,What did Napoleon III and the royal couple visit? ,Span
246,When did Napoleon III visit London?,Span
247,What FA cup season did this take place in? ,Span
248,What level where they? ,Span
249,"Where did Napoleon III meet Victoria and Albert, before accompanying them to Paris?",Span
250,Documents released in 2009 showed that Shell made regular payments to which entity?,Span
251,The same leaked communication revealed Shell claimed to know what?,Span
252,What are the old Masonic document referred as?,Span
253,For what purpose did Shell make regular payments to the entity cited in the documents released in 2009?,Span
254,About what did the Shell executive boast in relation to the leaked communication?,Span
255,What is the oldest written document about Freemasonary?,Span
256,When did Masonic historians star seeking the origins of the Masonic Movement?,Span
257,When did ceremonial regalia first appear in the Masonic culture?,Span
258,The duties of its grades is an example of what historic documents?,Span
259,A 2010 leaked communication revealed that Shell claimed to have inserted what into which entities?,Span
260,Into what larger waterway do the West Haven Harbor and New Haven Harbor recess as embayments?,Span
261,"The eastern river bears the name of the Native American Tribes that once live in New Haven, what is the name?",Span
262,These two harbors are part of what estuary?,Span
263,The two eastern rivers meets in which of New Haven Harbor?,Span
264,Are all of New Haven's smaller stream active through all four seasons?,Span
265,What has served as a school of writing for many authors?,Span
266,What did translators shape in the course of their work?,Span
267,Where were idioms and vocabulary imported from?,Span
268,What have translators acted as by conveying knowledge between cultures?,Span
269,Who spread Buddhist texts in East Asia?,Span
270,When did personnel first start thinking about using lasers in combat?,Span
271,The use of lasers in anti-aircraft warfare is currently considered what?,Span
272,What laser can currently be used in the type of role that was first thought of in the late 1960s?,Span
273,What is another possible weapon for anti-aircraft use?,Span
274,When do some people believe that lasers can play a more prominent role in air defence?,Span
275,When are the new plans supposed to come to fruition for the airport?,Span
276,How much does the new airport cost?,Span
277,When were the new plans of the airport revealed?,Span
278,How many runways will be in the new airport?,Span
279,How many passengers will the new airport be able to handle?,Span
280,When were albums as we currently know them widely released?,Span
281,How many songs did most albums contain?,Span
282,What reputation does machine translations have?,Span
283,What type of translation is favored by those wanting more accurate translations?,Span
284,What is typically found on the front cover of an album?,Span
285,What type of translation is still the most accurate and reliable?,Span
286,Who purchases the services of translation agencies?,Span
287,"Because of crowdsourcing, what type of translation are agencies able to provide?",Span
288,When did the vinyl LP records Era begin?,Span
289,How may records were commonly found in an album?,Span
290,Who was a former Ottoman high-ranking officer?,Span
291,What is the word for inference in the Prabhakara subschool?,Span
292,How many ways does the Mimamsa separate into subschools?,Span
293,How many ways does the Prabhakara subschool of Mimamsa say there are to gain knowledge?,Span
294,How is pratyaksa defined in the Prabhakara subschool?,Span
295,What was able to rise from the death of the Near East?,Span
296,How did the Republic of Turkey align themselves?,Span
297,What notable nation was able to rise from the ashes of the Near East?,Span
298,Who was the founder of the Republic of Turkey?,Span
299,What is comparison and analogy in the Prabhakara school?,Span
300,What are forensic anthropologists very good at identifying?,Span
301,What measurement can aid in the identification of a human body?,Span
302,What morphological features do forensic anthropologists draw on?,Span
303,Where is the Dove Mountain planned community?,Span
304,Where is Oro Valley?,Span
305,"In the book Fowle wrote, what is the entire region considered?",Span
306,Where is the Rancho Vistoso planned community?,Span
307,Where is the Continental Ranch planned community?,Span
308,When did Captain T.C. Fowle write of a trip he had taken from Karachi to Syria?,Span
309,Which town is Rancho Vistoso located?,Span
310,Who noted in a 1992 article that anthropologists had generally abandoned the concept of race as valid?,Span
311,What nationality was Edward Schnell?,Span
312,Who did Edward Schnell work for?,Span
313,What proved to be less acceptable to a colonial point of view?,Span
314,What was Edward Schnell's Japanese name?,Span
315,Where did Edward Schnell live?,Span
316,"When did the term ""Near and Middle East"" hold stage?",Span
317,What duties did Edward Schnell have?,Span
318,Who were the 40th Pathans?,Span
319,What group still uses race as a valid means to represent human biological diversity?,Span
320,How much global GDP did emerging and developing economies account for from 2007 to 2014?,Span
321,What economies led global economic growth prior to the financial crisis?,Span
322,"How much global GDP did ""advanced"" economies account for from 2007 to 2014?",Span
323,Who led global economic growth after the financial crisis?,Span
324,What relationship between advanced and emerging/developing was completely overturned by the financial crisis of 2007?,Span
325,What comics began to dominate in Europe?,Span
326,"When was ""The Adventures of Tintin"" serialized?",Span
327,What 1925 cartoon made speech bubbles popular?,Span
328,Who started producing comic strips and theories about them in 1827?,Span
329,What century had comics in wide production?,Span
330,"The Council, under Paul VI, decided whom could make decisions independently of Rome?",Span
331,How many of his bishop's decisions did Paul VI end up enacting?,Span
332,What political movement was Paul VI criticized for having a relationship with?,Span
333,How many Synod of Bishops took place during Paul VI's papacy?,Span
334,What conferences became a requirement after Vatican II?,Span
335,When does the United States Financial Crisis Inquiry Commission date the crisis to?,Span
336,On what date did President Barack Obama declare that the markets are stabilized?,Span
337,Timur established the Timurid Empire in Iran in what year?,Span
338,How long did the Timurid empire last in Iran?,Span
339,The Ilkhans and Tumrids had what type of culture when ruling Iran?,Span
340,When did the U.S. recession that began in December 2007 end?,Span
341,Who established an Ilkhanate in Iran after the break up of the Mongol Empire in 1256?,Span
342,How many citizens were massacred in Isfahan by Timur in 1387?,Span
343,When did the financial crisis appear to have ended?,Span
344,What was the name of the article that appeared in TIME magazine in April 2009 declaring the crisis over?,Span
345,How often does Namibia conduct a census?,Span
346,What is it called when the census counts every person wherever they are the night of the census? ,Span
347,How many enumeration areas are there in Namibia?,Span
348,The enumeration areas in Namibia do not overlap with what in order to get reliable data?,Span
349,When was the first Population and Housing Census in Namibia?,Span
350,how much did 700 tons of saltpetre go for in the contract negotiated by Banks in 1673,Span
351,in what year did Banks  negotiate between the king and the East india company for 700 tons of saltpetre?,Span
352,how many gold and silver pieces were on the Ganj-i-Sawai?,Span
353,Which prehistoric culture did Casas Grandes stem from?,Span
354,To what does Cuarenta Casas translate in English?,Span
355,To what does Casas Grandes translate in English?,Span
356,In which region of the state did culture develop?,Span
357,What city was the center of the Casas Grandes civilization?,Span
358,"Saltpetre was used for what people, specifically the need for this product had people overlooking untaxed sales? ",Span
359,One of the governor of the company said that he would rather have saltpetre then____ in its raw form?,Span
360,Due to agreed debt what 250 tons  product was first permitted to be exported by the company after the seven years' war?,Span
361,what is the Ganj-i-Sawai know for?,Span
362,as times has past what has become know as the richest ship ever taken by Pirates?,Span
363,how many gold and silver pieces were on the Ganj-i-Sawai?,Span
364,What was reportedly the high value of of loot that the Ganj-i-Sawai had?,Span
365,The Chichimeca are the ancestors of what people?,Span
366,What was the name of the nomad tribes that hunted bison?,Span
367,How did the Chichimeca survive?,Span
368,The Jornado painted onto what surface?,Span
369,Along which river did they hunt bison?,Span
370,Who hosted Essentials Jr. between 2009 and 2011?,Span
371,Who was the first European to permanently settle on Tuvalu?,Span
372,Which native did O'Brien marry?,Span
373,Who began to host Essentials Jr. in 2011?,Span
374,In what year did Essentials Jr. replace Funday Night at the Movies?,Span
375,What series replaced Funday Night at the Movies?,Span
376,"Along with Chris O'Donnell, who was the original host of Essentials Jr.?",Span
377,What trader turned author established a post on Tuvalu?,Span
378,In what century did trading companies arrive in Tuvalu?,Span
379,What type of traders did the trading companies employ on Tuvalu?,Span
380,What is more important for a textual critic: quality or quantity?,Span
381,What is Bengel's rule?,Span
382,Does ease of reading correlate to accuracy in relation to the original text?,Span
383,How many rules were proposed in the 1881 publication of the New Testament in Greek?,Span
384,What is the criteria needed to include or dismiss a reading when critiquing texts?,Span
385,Where does a notable rock painting of a man on horseback exist?,Span
386,Where are the most notable rock paintings located?,Span
387,In what geographic part of Somalia are these rock paintings commonly found?,Span
388,How long ago were rock paintings found in Somalia created?,Span
389,"Along with animals, what is depicted on the rock paintings of Laas Geel?",Span
390,In what negotiation did France offer to establish the independent Saarland?,Span
391,What was the Saar Statute referendum voter turnout?,Span
392,Who owns the Houston Chronicle?,Span
393,"In the 23 October 1955 Saar Statute referendum, what percentage opposed the formation of the Saarland?",Span
394,Which political figure supported the Saar Statute referendum?,Span
395,Where is the newspaper Sudharma published?,Span
396,Whose family owned the Houston Post?,Span
397,What is the other newspaper that serves Houston?,Span
398,What is Houston's major newspaper?,Span
399,"When did Chronicle rival newspaper, the Houston Post, cease operations?",Span
400,The rejection of the plan by the Saarlanders was interpreted as support for the Saar to do what?,Span
401,What is the broadcast time for Sanskrit news on the DD National channel?,Span
402,In what year did daily news broadcasts in Sankrit begin on state-run All India Radio?,Span
403,"What is the publication, Sudharma?",Span
404,In what year was the daily newspaper Sudharma first published?,Span
405,What is the name of the royal residence built for the kings of France in Paris?,Span
406,What type of Gothic architecture is the Malbork Castle an example of?,Span
407,Who was the Royal palace of Olite built for?,Span
408,Who was the Malbork Castle built for?,Span
409,When was the Palau de la Generalitat in Barcelona constructed?,Span
410,In what year did the three EI techniques from ISO 12232:1998 largely stop being used?,Span
411,With what cameras can earlier techniques not be used?,Span
412,What does the DC-008 change?,Span
413,Which methods are required by CIPA DC-004?,Span
414,What nation's cameras does the CIPA DC-004 apply to?,Span
415,What was the last British colony remaining in Africa?,Span
416,When was the Unilateral Declaration of Independence of Rhodesia?,Span
417,Where was the Mau Mau Uprising?,Span
418,When was the second-to-last British colony in Africa granted independence?,Span
419,What new country did the Lancaster House Agreement recognize?,Span
420,"Who granted the act Act of ""Nihil novi nisi commune consensu""?",Span
421,What has happened to the legislative power?,Span
422,What happened to the notabilities political position?,Span
423,How amny FIFA World Player of the Year have members of FC Barcelona won?,Span
424,Which sports team has the world's largest social media following?,Span
425,How Ballon d'Or awards have members of the Barcelona team won?,Span
426,How amny of Barcelona's players were picked as the three best players of the year in 2010?,Span
427,"Where did Messi, Iniesta and Xavi learn their football in Barcelona?",Span
428,"When did the Act of ""Nihil novi nisi commune consensu"" happen?",Span
429,"What did The Act of ""Nihil novi nisi commune consensu"" Do",Span
430,What was the style of worship of Hindu Gods?,Span
431,Who used Codd's paper at Berkeley to improve a geographical database?,Span
432,By what dentury did Buddhism disappear form much of India?,Span
433,When was INGRES first tested?,Span
434,What computer language was used in INGRES to access data?,Span
435,What cults weakened Buddhism in India?,Span
436,What replaced Buddha in ruling centers?,Span
437,What was the name of the project to create a geographical database?,Span
438,Is QUEL still used to access data in INGRES?,Span
439,What kind of temples were built for Hindu Gods?,Span
440,What do mechanically controlled variable capacitors enable to be modified?,Span
441,How do cheap variable capacitors vary the separation distance between layers of a plastic and aluminum?,Span
442,Of what type of diodes are varactors or varicaps comprised?,Span
443,What varies as a function of voltage in varactors?,Span
444,What is an application of varactors?,Span
445,"When was the term ""Early Modern"" implemented into the English language?",Span
446,What percentage of freshman students enrolling in the class of 2019 ranked in the top 10% of their high school class?,Span
447,"What do the terms ""Early Modern"" and  'Modern Ages"" originate from?",Span
448,"What are the terms ""Early Modern"" and ""Modern Ages"" used for i other countries?",Span
449,"What does the term ""Early Modern"" mean?",Span
450,"For freshman enrolling in the class of 2019, what was the interquartile range on the SAT for math?",Span
451,"Where do the terms ""Middle Ages"" and ""Modern Ages"" originate from?",Span
452,How selective are admissions at Northwestern characterized by U.S. News & World Report?,Span
453,"For freshman enrolling in the class of 2019, what was the interquartile range on the SAT for critical reading?",Span
454,What percentage of applications were admitted for the undergraduate class entering in 2016?,Span
455,What Catholic belief did early Protestants not agree with?,Span
456,"Many insects are able to see visible light, ultraviolet, and what other kind of light?",Span
457,When did Protestantism begin to split?,Span
458,What was one of the main causes of the split in Protestantism?,Span
459,What two substances are used in a Catholic Mass?,Span
460,Whose body and blood is considered present in Holy Communion?,Span
461,Insects notice what type of movement?,Span
462,Most insects are able to perceive darkness and what else?,Span
463,What insect is not abel to perceive light and dark?,Span
464,Most insects have what kind of vision?,Span
465,What follows the 2N in a JEDEC EIA370?,Span
466,What does the JEDEC EIA370 transistor number start with?,Span
467,What does a letter at the end of a device number mean?,Span
468,what does the 2N is the JEDEC EIA370 mean?,Span
469,What does the number 2N1301 indicate?,Span
470,What safety factors were done away with beginning with the modifications to the standards?,Span
471,What did the 1960 changes to film speed measures lead to?,Span
472,In what year was the BS system modified?,Span
473,In what year were big changes made to the ANSI?,Span
474,Which other system were these changes applied to?,Span
475,When were police used to protect the class system?,Span
476,What problem do many police forces have?,Span
477,How are police usually paid?,Span
478,What problem do many police forces have?,Span
479,When were police used to protect the class system?,Span
480,What influences popular music in Cyprus?,Span
481,What was the name of the top-selling anti-inflammatory drug in 2013?,Span
482,What are some famous metal Cypriot bands?,Span
483,Which artists are associated with Cypriot rock music?,Span
484,What are some famous Cypriot artists?,Span
485,How much money did the top ten bestselling drugs make in 2013?,Span
486,What was the bestselling drug in history?,Span
487,How much money did Lipitor make before the patent expired?,Span
488,In what year did Pfizer's patent over Lipitor expire?,Span
489,What other genres of music are enjoyed in Cyprus?,Span
490,What was the name of the second single called?,Span
491,What was Madonna's debut single called?,Span
492,"Madonna's dance singles reached which number in the ""Hot Dance Club Songs"" by the Billboard Magazine?",Span
493,Who produced Madonna's debut album?,Span
494,"When was ""Everybody"" released?",Span
495,Which country has Nigerians sending the most money home?,Span
496,Which Asian country has Nigerians sending the most money home?,Span
497,How much money did overseas Nigerians send home in 2007?,Span
498,Which country has Nigerians sending the second-most money home?,Span
499,How much money did overseas Nigerians send home in 2004?,Span
500,To what Italian city was Montini appointed archbishop?,Span
501,On what date did Montini become the archbishop of Milan?,Span
502,Where was Pius XII when he announced Montini's appointment as archbishop?,Span
503,In what year did Pius XII deliver a radio address announcing Montini's papal appointment?,Span
504,In what year did Montini become the archbishop of the Cathedral of Milan?,Span
505,Why did Kim's war plan need revising?,Span
506,What did Kim Il-Sung do after the peace overture was rejected?,Span
507,What are some major industrial outputs of Sichuan?,Span
508,Who rejected the peace gesture?,Span
509,What was Britain's obligation to Hanover if colonial expansion via war with France was to be resumed?,Span
510,Name two diverse geographies that king George II had to protect.,Span
511,How much of China's wine did Sichuan produce in 2000?,Span
512,Why would France want to invade Hanover?,Span
513,Which city in Sichuan is known for its machinery production?,Span
514,What areas are major areas of production for textiles and electronics?,Span
515,When did Kim Il-Sung call for the Haeju conference?,Span
516,Which city in Sichuan is known for its metallurgical industries?,Span
517,What was the house of king George II?,Span
518,How anxious was France to assist Prussia to take over Hanover?,Span
519,Who called for Korean elections in 1950?,Span
520,Who appears as Dante's guide through hell and purgatory in the Divine Comedy?,Span
521,What was the circulation of The Sun on Sunday in March 2014?,Span
522,Different things could affect what with the shell?,Span
523,When did the Sunday Mail overtake The Sun in sales numbers?,Span
524,Which newspaper did the The Sun on Sunday take the place of?,Span
525,Which works did Virgil model the Aeneid after?,Span
526,When is the weekly Mail forecast to pass The Sun in terms of circulation?,Span
527,What percentage of the Christian population is Catholic?,Span
528,In what year was The Sun's look changed?,Span
529,"According to a 2015 Gallup Poll, what percentage of Swiss people are convinced atheists?",Span
530,What religion has immigration brought by 4.95%? ,Span
531,What was the problem with AA gunnery?,Span
532,Where was the barrel pointed when the sights were on a target?,Span
533,What is the predominant religion of Switzerland?,Span
534,What two things figured the fuse length?,Span
535,What was updated on the gunsight as a target moved?,Span
536,What religion has immigration brought by 2%?,Span
537,Who is the main character in the Aeneid?,Span
538,What was Aeneas trying to accomplish in the Aeneid?,Span
539,Which of Virgil's works is considered the national epic of ancient Rome?,Span
540,Which takes precedent when a law passed by Parliament conflicts with a law passed by Delhi's Legislative assembly?,Span
541,Which government position is given most of the executive powers over Delhi?,Span
542,What government body advises the president on appointing a Lieutenant Governor?,Span
543,Who is responsible for appointing the Lieutenant Governor of the Union Territory of Delhi?,Span
544,What is the official title of Delhi's head of state?,Span
545,What race was Clayton Lockett?,Span
546,What was Clayton Lockett's cause of death?,Span
547,What gas did Oklahoma decide to use for executions in 2015?,Span
548,What state employed Robert Patton in May 2014?,Span
549,"As of May 2014, what was Robert Patton's job title?",Span
550,Guerra was assassinated in a suburb of which city?,Span
551,Who led a movement against the government in June of 1875?,Span
