qid,question,True Answer,Predicted Answer,Haluccinot
115,Where did Mirza Farkhunda Shah's father die?,Rangoon,in the city of Baghdad,fHALU:0.9844
116,When is the performer of song Behind The Ritual 's birthday?,31 August 1945,"December 31, 1971",NOHALU
117,What is the place of birth of the director of film Chivalrous Charley?,Brooklyn,London,NOHALU
118,"Who died first, Phil Emmanuel or Matiu Dickson?",Matiu Dickson,Matiu Dickson,NOHALU
119,Where was the director of film Rubber Racketeers born?,"Portland, Oregon",New York City,NOHALU
120,Which country the composer of song Every Day I Have To Cry (Song) is from?,American,American,fHALU:0.707
121,Are Alberto Rivera Pizarro and William G. Rohrer from the same country?,no,no,NOHALU
122,Which country the composer of song A Foggy Day is from?,American,Austria,NOHALU
123,"Are both villages, Vukpalaj and Ano Lechonia, located in the same country?",no,no,NOHALU
124,"What is the place of birth of the composer of song I Was A Lover, A Leader Of Men?",Douglas,New York City,NOHALU
125,"Which film has the director who died first, Naseeb (1981 Film) or Fighting Trooper?",Fighting Trooper,Fighting Trooper,NOHALU
126,When did the composer of film Andru Kanda Mugam die?,21 June 2001,18 December 2012,NOHALU
127,Where was the father of Margaret Of Hungary (Saint) born?,Transylvania,Hungary,fHALU:0.7852
128,Where did the director of film Beyond The Rocks (Film) die?,Hollywood,New York City,NOHALU
129,What is the place of birth of Nayla Moawad's husband?,Zgharta,Lahore,fHALU:0.8945
130,What is the date of death of Konstantin Kuzakov's father?,5 March 1953,1 January 1991,fHALU:0.793
131,Do director of film The Haunting of Morella and director of film The Young Girl share the same nationality?,no,no,NOHALU
132,"Which film has the director who died later, Aaranya Kandam or One Hundred Nails?",One Hundred Nails,One Hundred Nails,NOHALU
133,Where did Herbert Furth's mother die?,Washington,st. john's hospital,NOHALU
134,Do both films: Arbitrage (film) and In the Wake of a Stranger have the directors from the same country?,no,no,NOHALU
135,Where did Lamprocles's father die?,Athenian,san marino,fHALU:0.7188
136,Are Carfury and Albu Shahbaz located in the same country?,no,no,NOHALU
137,"Which film whose director was born first, Mad Dog Time or Seclusion Near A Forest?",Seclusion Near A Forest,Seclusion Near A Forest,fHALU:0.9219
138,Do Marcel Vonlanthen and Domenico Doardo share the same nationality?,no,no,NOHALU
139,Where did the director of film The Right Of The Strongest die?,Los Angeles,New York City,NOHALU
140,"Who was born later, William Crump (Gardener) or Davit Khutsishvili?",Davit Khutsishvili,Davit Khutsishvili,NOHALU
141,Do Cliff Cook and John Drawbridge have the same nationality?,no,no,NOHALU
142,"Which film was released earlier, The Pervert'S Guide To Ideology or La Vida Alrededor?",La Vida Alrededor,La Vida Alrededor,NOHALU
143,When was the director of film Prey For The Shadows born?,13 July 1923,"December 30, 1931",NOHALU
144,Are Marc Dutroux and Joaquim Pimentel of the same nationality?,no,no,NOHALU
145,Who is the spouse of the director of film Angels In The Infield?,Michelle King,Judith Anderson,NOHALU
146,"Are the movies Shadows of the West and The Matchmaker (1934 film), from the same country?",no,no,NOHALU
147,"Are both movies, The Crescent (Film) and Little Ashes, from the same country?",no,no,NOHALU
148,Do Juan Pablo Magallanes and Bud Shrake share the same nationality?,no,no,NOHALU
149,"Which film whose director is younger, Charge It To Me or Danger: Diabolik?",Danger: Diabolik,Danger: Diabolik,NOHALU
150,"Do both films, Spencer'S Mountain and Karpoora Mullai, have the directors who are from the same country?",no,no,NOHALU
151,Where did the performer of song After The Dance (Song) die?,Los Angeles,New York City,NOHALU
152,Did John Agoglia and John E. Toews have the same nationality?,yes,no,NOHALU
153,"Are both villages, Biezelinge and Larzian, located in the same country?",no,no,NOHALU
154,What is the date of death of Mirza Jahangir's father?,28 September 1837,15 May 1899,NOHALU
155,Are Cvo Skool Pretoria and Toronto Japanese School located in the same country?,no,no,NOHALU
156,What is the date of birth of the director of film Katanga Business?,13 October 1952,29 August 1959,NOHALU
157,Where was the place of death of the composer of film Kudamattam?,Chennai,Chennai,NOHALU
158,What is the date of birth of the director of film Zwemplaats Voor Jongelingen Te Amsterdam?,5 November 1866,15 April 1931,NOHALU
159,When is the director of film A Musical War Of Love 's birthday?,10 May 1899,"December 31, 1931",NOHALU
160,Who is the spouse of the director of film Just Once A Great Lady (1957 Film)?,Hilde Volk,Phyllis Diller,NOHALU
161,Why did the director of film An Angel From Texas die?,heart attack,he was killed in a car crash,NOHALU
162,Do both films: The Secret Of Madame Blanche and Dasima have the directors from the same country?,no,no,NOHALU
163,Do director of film Zila Ghaziabad and director of film Teree Sang share the same nationality?,yes,no,NOHALU
164,Are Lucas Tirigall Caste and Naphtali Hirz Wessely both from the same country?,no,no,NOHALU
165,Who is the uncle of Manuel Komnenos (Kouropalates)?,Isaac I Komnenos,aristotle,fHALU:0.9727
166,Are both director of film The Search For John Gissing and director of film Blindfolded (Film) from the same country?,yes,no,NOHALU
167,Where was the director of film As I Open My Eyes born?,Tunis,New York City,NOHALU
168,Are Griff The Invisible and Winter Sleep (Film) both from the same country?,no,no,NOHALU
169,Are both directors of films The Blue Bird (1940 Film) and Bharya Biddalu from the same country?,no,no,NOHALU
170,"Which film came out earlier, Zehreela Insaan or Bert: The Last Virgin?",Zehreela Insaan,Bert: The Last Virgin,fHALU:0.8867
171,Which country the director of film Imperative (Film) is from?,Polish,India,NOHALU
172,"Are both businesses, Vakıfbank and Infopro Sdn Bhd, located in the same country?",no,no,NOHALU
173,Where did the director of film Dakshayagnam (1962 Film) die?,Madras,Chennai,NOHALU
174,Do both films: Arbitrage (film) and In the Wake of a Stranger have the directors from the same country?,no,no,NOHALU
175,"Which film came out earlier, Voter (Film) or Flowers From Nice?",Flowers From Nice,Flowers From Nice,NOHALU
176,"Who was born first, Eupremio Carruezzo or Bruno Millienne?",Bruno Millienne,Eupremio Carruezzo,NOHALU
177,When did the director of film Albert Schweitzer (Film) die?,"November 21, 1972",18 April 1912,fHALU:0.9883
178,Where did Mirza Farkhunda Shah's father die?,Rangoon,in the city of Baghdad,fHALU:0.9844
179,When was the director of film Private Hell 36 born?,"October 26, 1912","August 29, 1931",NOHALU
180,Where was the place of death of the director of film Vikramaditya (Film)?,Mumbai,Mumbai,fHALU:0.7344
181,When was the director of film Western Jamboree born?,"July 21, 1899","December 30, 1931",NOHALU
182,Where did the director of film Canyon Of The Fools die?,Hollywood,New York City,NOHALU
183,Which country the director of film Sleepless In New York is from?,Swiss,American,NOHALU
184,"Which film has the director born first, Last Plane Out or The Negro (Film)?",Last Plane Out,The Negro,NOHALU
185,When did the director of film Catherine & Co. die?,10 November 2002,"January 1, 2003",fHALU:0.7344
186,Do both Something Always Happens and The Great Impersonation (1921 film) films have the directors from the same country?,no,no,NOHALU
187,Are director of film The Squeeze (1987 Film) and director of film Web Of The Spider both from the same country?,no,no,NOHALU
188,Do both Bait (1954 Film) and Dharm Adhikari films have the directors from the same country?,no,no,NOHALU
189,When did the director of film Poor Man'S Pudding die?,"November 28, 2009","December 31, 2008",NOHALU
190,Who is the spouse of the director of film Lord Of The Manor (Film)?,Chrissie White,Judith Anderson,NOHALU
191,When did the composer of film Andru Kanda Mugam die?,21 June 2001,18 December 2012,NOHALU
192,Do both directors of films Blücher (film) and The Good Old Soak have the same nationality?,no,no,NOHALU
193,"Are Malian, Hamadan and Chahar Taq, Markazi located in the same country?",yes,no,NOHALU
194,Who is Rhescuporis I (Odrysian)'s paternal grandfather?,Raizdos,king euclid,NOHALU
195,Where was the director of film Santos Vega (1936 Film) born?,Buenos Aires,Buenos Aires,NOHALU
196,"Who died later, Chuck Turner or Mohamed Abdelaziz (Sahrawi Politician)?",Chuck Turner,Mohamed Abdelaziz,NOHALU
197,What is the date of death of the director of film Celluloide?,5 October 2013,28 December 2012,NOHALU
198,Are both directors of films The Blue Bird (1940 Film) and Bharya Biddalu from the same country?,no,no,NOHALU
199,Where was the place of death of the director of film Kiss Of Araby?,Hollywood,Paris,NOHALU
