qid,query,type
90,"Which film has the director who was born earlier, Ghosts – Italian Style or Phony Express?",bridge_comparison
91,Where was the wife of Lou Breslow born?,compositional
92,What nationality is the composer of film This Love Of Ours?,compositional
93,"Which film has the director who is older than the other, Airheads or Return To Cabin By The Lake? ",bridge_comparison
94,"Which film was released more recently, Chanakya Shapatham or Somewhere In Sonora?",comparison
95,What is the place of birth of Ayşe Hatun (Wife Of Selim I)'s father?,compositional
96,Where was the father of Benjamin Lewis Vulliamy born?,compositional
97,Are Tauheed Railway Station and Tamluk Junction Railway Station both located in the same country?,comparison
98,Who is the father of the director of film Legend Of A Fighter?,compositional
99,"Which film came out earlier, Devil In The Flesh 2 or Las Tecnologías Pesqueras?",comparison
100,"Which film was released first, Hercules Against The Sons Of The Sun or Barravento?",comparison
101,Where was the director of film The Last Bridge born?,compositional
102,What is the place of birth of Julien Bernard's father?,compositional
103,"Which film has the director born earlier, Two Balloons or The Pocket-Knife?",bridge_comparison
104,"Are the movies Midnight Lace and Man Of The Moment (1935 Film), from the same country?",comparison
105,"Which film has the director died earlier, The Suit (2003 Film) or L'Eroe Sono Io?",bridge_comparison
106,Do both Who Hesitates Is Lost and Snapshot Of A Crime films have the directors from the same country?,bridge_comparison
107,Which country the director of film Lilli'S Marriage is from?,compositional
108,"Who is older, Juan Cruz Real or Miguel Augusto Prince?",comparison
109,"Which film was released more recently, Scrap Heaven or Twelve Miles Out?",comparison
110,Who is the father of the director of film My 20Th Century?,compositional
111,"Who is younger, Per Kjærgaard Nielsen or Luca Calapai?",comparison
112,Where did the composer of film Sakhavu (1986 Film) die?,compositional
113,What is the date of death of the composer of film Caminito De Gloria?,compositional
114,"Which film came out first, The Bye Bye Man or Kalabha Mazha?",comparison
115,Who is the mother of the director of film Mercy (2000 Film)?,compositional
116,"Which film whose director is younger, Count Cohn or Key House Mirror?",bridge_comparison
117,"Which film has the director born first, Kashmeeram or When Love Sets The Fashion?",bridge_comparison
118,Was Jamie Curry or Alyaksey Vasilewski born first?,comparison
119,"Which film was released first, Un Dramma Borghese or Pals Of The Saddle?",comparison
120,Which country the composer of film Christmas Holiday is from?,compositional
121,"Which film came out first, João Da Mata or Beautiful Girls (Film)?",comparison
122,"Which film has the director born first, Big Happiness or Border Romance?",bridge_comparison
123,Are Bhiwani Airport and Kullu–Manali Airport located in the same country?,comparison
124,Which country the director of film The Last Time I Committed Suicide is from?,compositional
125,Are both Les Coquetiers Railway Station and Gare De Pont-Noblia-Bidarray located in the same country?,comparison
126,"Which film was released more recently, Seduced And Abandoned or Formula Of Love?",comparison
127,Do both films The Smugglers (1916 Film) and Hell'S Valley have the directors from the same country?,bridge_comparison
128,"Which film has the director born first, Gniazdo or The Summer Of Massacre?",bridge_comparison
129,Do both directors of films American Dragons and The Spender (1919 Film) share the same nationality?,bridge_comparison
130,"Are the movies Seeing Red (1992 Film) and Wind From The Icy Country, from the same country?",comparison
131,"Who was born first, Cecil Dumond or Paulo Centurión?",comparison
132,What is the place of birth of Sheila Mary Tuer's husband?,compositional
133,"Which film has the director who was born first, The Butterfly Lifts The Cat Up or Turn On To Love?",bridge_comparison
134,"Which film has the director who is older than the other, The Spirit Of The Beehive or The Avenger, Zorro? ",bridge_comparison
135,"Which film has the director who was born later, Bloody Moon or Hot Tamale?",bridge_comparison
136,Are Kakwa River and Bighead River located in the same country?,comparison
137,"Which film came out first, A Man Who Liked Funerals or Man Ki Jeet?",comparison
138,"Which film was released more recently, Return To Macon County or Nightmare Honeymoon?",comparison
139,"Which film was released earlier, The Love God? or Looking For Danger?",comparison
140,Which country the director of film Autumn Moon is from?,compositional
141,"Which film has the director born later, Men Suddenly In Love or Unearthly Stranger?",bridge_comparison
142,"Which film came out first, The Bloodsucker Leads The Dance or To Make A Killing?",comparison
143,"Who was born first, Thomas Rolfe or Roger Miret?",comparison
144,Do both directors of films Depth Charge (Film) and Cheer Boys Cheer share the same nationality?,bridge_comparison
145,"Which film came out first, Run The Race or Cup-Tie Honeymoon?",comparison
146,"Who was born first, Jim Haynes or Don Cowan?",comparison
147,Which country Trịnh Thị Ngọc Trinh's husband is from?,compositional
148,"Which film was released first, Zelly And Me or Nalla Thangal?",comparison
149,Who is Şah Sultan (Daughter Of Mustafa Iii)'s paternal grandfather?,inference
150,"Who is older, Pascal Charrière or James T. Ronald?",comparison
151,What nationality is the director of film Who Loved Him Best??,compositional
152,"Who was born first, Selahattin Seyhun or Nil Tun Maung?",comparison
153,Are director of film 11:14 and director of film Born That Way (Film) both from the same country?,bridge_comparison
154,"Which film came out first, Un Extraño En La Escalera or Arlington West: The Film?",comparison
155,"Which film has the director born first, Donogoo Tonka or The Afternoon Of A Torturer?",bridge_comparison
156,"Did the movies Ride A Crooked Trail and The Glassworker, originate from the same country?",comparison
157,"Which film came out earlier, Hot Summer In The City or He Snoops To Conquer?",comparison
158,Was Andreas P. Nielsen or Lydia Flood Jackson born first?,comparison
159,"Are both Katyn (Rural Locality) and Petropavlovka, Volgograd Oblast located in the same country?",comparison
160,"Which film whose director is younger, Baadasssss Cinema or One Woman To Another?",bridge_comparison
161,"Who was born first, Wycliffe Juma or Nicolas Borodine?",comparison
162,What is the place of birth of the director of film General John Regan (1933 Film)?,compositional
163,Who was born first out of C. Maurice Patterson and Maj-Briht Bergström-Walan?,comparison
164,"Did the movies La Maternelle (Film) and La Provinciale (1981 Film), originate from the same country?",comparison
165,Who is the father of the director of film Plunkett & Macleane?,compositional
166,Where was the husband of Maria Muldaur born?,compositional
167,Where was the director of film The Girl From Barnhelm born?,compositional
168,"Which film has the director who is older than the other, Story From Croatia or The Firm Man? ",bridge_comparison
169,"Do the movies Sweet Mama (Film) and Soy Andina, originate from the same country?",comparison
170,What nationality is the director of film Pound Of Flesh (2015 Film)?,compositional
171,"Who was born earlier, Marius Mapou or Ademilson Silva Marques?",comparison
172,"Who is younger, Thomas Praytor or Matthew Knox?",comparison
173,Who is the paternal grandmother of Alexander Of Trebizond?,inference
174,Are Uvanga and Blizzard (Film) from the same country?,comparison
175,"Who is younger, Michele Morrow or Judy Cassab?",comparison
176,"Who is younger, Dajan Hashemi or Serge Lajeunesse?",comparison
177,"Which film has the director born earlier, More Bloody Meetings or Riders Of The Badlands?",bridge_comparison
178,Was Bernd Meinunger or Radmila Savićević born first?,comparison
179,Which country the director of film Pacientka Dr. Hegla is from?,compositional
180,"Who is younger, Zhang Lifang or Lalengzama Vangchhia?",comparison
181,Who is the child of the director of film Furia Infernal?,compositional
182,"Which film has the director who was born later, Young Buffalo Bill or The Lacquered Box?",bridge_comparison
183,"Which film was released first, All Over The Guy or Dead Man?",comparison
184,Where was the director of film The Bloom Of Yesterday born?,compositional
185,"Who is older, Augusto Gama or Saleh Al-Dawod?",comparison
186,"Which film has the director who is older, Back To Bosnia or Keep Away From The Window?",bridge_comparison
187,"Which film has the director who was born later, Enjoy Yourselves or A Song To Remember?",bridge_comparison
188,"Who was born first, Lương Hoàng Nam or Ross Mcmillan?",comparison
189,Which country the director of film Vendetta (1986 Film) is from?,compositional
190,Who is the maternal grandfather of Count Michael Mikhailovich Of Torby?,inference
191,"Which film was released more recently, The First Rains Of Spring or Venetian Bird?",comparison
192,"Where was the place of burial of Albert Frederick, Duke Of Prussia's mother?",compositional
193,Who is the mother of the director of film Bad Company (1995 Film)?,compositional
194,"Which film came out first, Troublesome Night 14 or Return From The Sea?",comparison
195,Which country John ʻAimoku Dominis's father is from?,compositional
196,Where was the director of film Life Classes born?,compositional
197,"Which film whose director is younger, Scenes From A Gay Marriage or Sword In The Desert?",bridge_comparison
198,Which country the director of film Warsaw Bridge is from?,compositional
199,"Who lived longer, Robert Glen Coe or Franz Limmer?",comparison
200,Are both Capital C and The Apprentice Diplomat from the same country?,comparison
201,"Who is younger, Jule Mallonee or Mimí Lazo?",comparison
202,What is the place of birth of the director of film The Merry Wives?,compositional
203,Was Demetrious Cox or István Görgényi born first?,comparison
204,"Who is younger, Mikael Judas or Prabhat Kumar Mukhopadhyaya?",comparison
205,Are Prikanalny and Vetlyanka both located in the same country?,comparison
206,"Which film was released earlier, Battle For Brooklyn or Crime In The Streets?",comparison
207,"Which film has the director born earlier, Song Of Arizona or Texas Terrors?",bridge_comparison
208,"Who is younger, Casimir Gide or Gorka Brit?",comparison
209,"Which film has the director who was born first, The Tortured or The Emperor And His Brother?",bridge_comparison
210,"Which film has the director who is older than the other, The Carousel Of Death or Nameless Star? ",bridge_comparison
211,Where was the director of film Dark Valley born?,compositional
212,Where was the director of film Nothing Funny born?,compositional
213,"Did the bands The Medic Droid and The Womenfolk, originate from the same country?",comparison
214,"Do both films Rip, Sew And Stitch and Clown Princes have the directors from the same country?",bridge_comparison
215,"Which film has the director who is older, A Reno Divorce or Hills Of Kentucky?",bridge_comparison
216,What is the place of birth of the director of film The Fj Holden?,compositional
217,"Which film was released first, Snehadeepam or Warriors Of Heaven And Earth?",comparison
218,Which country the director of film Sebastian (1995 Film) is from?,compositional
219,Where was the father of Ferrin Barr Jr. born?,compositional
220,Are Yadboro River and Pigna Barney River both located in the same country?,comparison
221,"Which film was released more recently, The Last Train From Madrid or Little Funny Guy?",comparison
222,"Which film has the director who is older than the other, Pobočník Jeho Výsosti or Expertos En Pinchazos? ",bridge_comparison
223,Who is Konrad Januszowic's maternal grandmother?,inference
224,What is the place of birth of Minnie Cumnock Blodgett's husband?,compositional
225,"Which film has the director who was born later, The First Day Of Freedom or Malabimba – The Malicious Whore?",bridge_comparison
226,Which country the director of film The Invisible Eye is from?,compositional
227,"Which film whose director was born first, No Greater Glory or Seeing'S Believing?",bridge_comparison
228,"Who is younger, Paul Heitz or King Von?",comparison
229,"Which film was released first, F.T.A. or Circus Of Fear?",comparison
230,"Which film was released more recently, Bajo Otro Sol or Riding The California Trail?",comparison
231,"Which film has the director who was born first, The Girl In 419 or Dunked In The Deep?",bridge_comparison
232,"Which film has the director who is older, Three Violent People or Girls In White?",bridge_comparison
233,What nationality is the director of film Gambling Wives?,compositional
234,"Are Little Mill, Monmouthshire and St Issey located in the same country?",comparison
235,"Which film has the director born later, Men Are Such Fools or Waiter!?",bridge_comparison
236,What nationality is the director of film With The Music In My Soul?,compositional
237,What nationality is the director of film Never Die Young (Film)?,compositional
238,Who is the spouse of the director of film Den Of Iniquity?,compositional
239,What is the place of birth of the director of film The Gilded Spider?,compositional
240,"Which film whose director was born first, A Low Life Mythology or Walled In?",bridge_comparison
241,What is the place of birth of Lupe Rumazo's father?,compositional
242,"Which film whose director was born first, If You Won A Hundred Million or Night Arrival?",bridge_comparison
243,"Do the movies Annihilation (Film) and The Lost House (1922 Film), originate from the same country?",comparison
244,Are director of film Garbo (Film) and director of film Souls At Sea both from the same country?,bridge_comparison
245,"Which film has the director born earlier, I Learned It From Father or Sengottai Singam?",bridge_comparison
246,Where was the director of film No Way Home born?,compositional
247,Where was the husband of Dulce Saguisag born?,compositional
248,Are Old Dog (2011 Film) and The Crimson Stain Mystery both from the same country?,comparison
249,Where did the composer of film Port Djema study?,compositional
250,Who is the spouse of the director of film Married And In Love?,compositional
251,When was the company that published Australian Woman'S Mirror founded?,compositional
252,"Who is younger, Edouard A. Stackpole or Jim Edmond?",comparison
253,"Which film whose director was born first, Friends (1999 Film) or Niespotykanie Spokojny Człowiek?",bridge_comparison
254,"Which film has the director who was born first, Stella Í Orlofi or Resurrection (2016 Argentine Film)?",bridge_comparison
255,Who was born first out of Roy Folkman and Zakariya Souleymane?,comparison
256,What is the place of birth of Vencislav Simeonov's father?,compositional
257,Do Charles Defodon and Maëva Charbonnier share the same nationality?,comparison
258,"Who is younger, Moritz Brosch or Branko Belačić?",comparison
259,What is the place of birth of Queen Jeongsun (Wonjong)'s husband?,compositional
260,Who is the paternal grandfather of Konrad Vi The Dean?,inference
261,"Which film was released more recently, Deadly Little Christmas or The Monster Squad?",comparison
262,Where was the place of death of the director of film Emile The African?,compositional
263,"Who was born first, Cipriano Castro or Damir Nikšić?",comparison
264,"Did the movies Boynton Beach Club and The Conformist (1970 Film), originate from the same country?",comparison
265,"Who lived longer, Joseph Peyré or Iraj Kiarostami?",comparison
266,Where was the director of film Nuits Rouges born?,compositional
267,"Which film was released more recently, Life According To Agfa or Memoria Negra?",comparison
268,"Which film came out first, The House On The Edge Of The Park or Goonga Pehelwan?",comparison
269,"Did the movies Vendetta Di Zingara and For A Few Extra Dollars, originate from the same country?",comparison
270,Who is the spouse of the director of film The Glass Boat?,compositional
271,"Who has a wider scope of profession, Anne Castles or Colin Will?",comparison
272,Are Norway House Airport and Akulivik Airport both located in the same country?,comparison
273,"Which film was released earlier, My Wife'S Best Friend or 5 Days Of War?",comparison
274,What is the place of birth of the director of film Desafío En Río Bravo?,compositional
275,"Which film has the director born earlier, The Story Of Anastasia or A Mother Of Men?",bridge_comparison
276,Which country the director of film Ritoma is from?,compositional
277,Was Denisa Křížová or Danny Halligan born first?,comparison
278,"Which film was released more recently, Mirror Game or Trooper O'Brien?",comparison
279,"Which film has the director born later, Federal Agent At Large or Strike Me Lucky?",bridge_comparison
280,"Who lived longer, Aniela Pawlikowska or Erling Jensen?",comparison
281,"Which film has the director who was born later, Unsullied or Not Wanted On Voyage?",bridge_comparison
282,What nationality is John Elliot (Railway Manager)'s father?,compositional
283,Which country the director of film The Divide (2011 Film) is from?,compositional
284,"Who was born later, Louis Alexander Fagan or John Willie Sutcliffe?",comparison
285,"Which film has the director born later, Movie Days or The Story Of A Boy?",bridge_comparison
286,"Which film has the director born first, Fanny'S Journey or Ikaw Ang Pag-Ibig?",bridge_comparison
287,"Which film was released first, Malaikat Tanpa Sayap or D-Day The Sixth Of June?",comparison
288,"Who lived longer, Pierre Sonnerat or Ingrith Johnson Deyrup-Olsen?",comparison
289,"Which film has the director born later, Per Amore... Per Magia... or All Wrong (Film)?",bridge_comparison
290,"Which film has the director who was born later, Playing It Wild or I'Ll Be Going Now?",bridge_comparison
291,"Which film was released first, A Romance Of Seville or Pirates Of The Sky?",comparison
292,"Who lived longer, Rembrandt Bugatti or Jack Klugman?",comparison
293,"Who was born first, Austin Brummett or Harry G. Robinson Iii?",comparison
294,Who is the spouse of the director of film The Invisible Menace?,compositional
295,"Which film has the director who is older, Song Of The Eagle or Yukon Vengeance?",bridge_comparison
296,"Which film has the director born later, Nero And The Burning Of Rome or Mystery Junction?",bridge_comparison
297,Who is Paolo Ii Vitelli's maternal grandfather?,inference
298,"Which film came out first, The James Dean Story or Mariners Of The Sky?",comparison
299,Where was the place of death of the director of film To Live In Peace?,compositional
300,"Which film whose director is younger, Winter Sleepers or Poveri Milionari?",bridge_comparison
301,Do both films: Utopia (1983 Film) and The Lawless Nineties have the directors from the same country?,bridge_comparison
302,"Which film came out earlier, The Old People or Jaane Jigar?",comparison
303,"Did the movies The Ritual (2017 Film) and Triple Crossed, originate from the same country?",comparison
304,"Which film has the director who is older than the other, Anjaan Hai Koi or Calling The Tune? ",bridge_comparison
305,"Which film has the director who is older than the other, Queen Of The Mob or L'Affittacamere? ",bridge_comparison
306,"Which film was released earlier, Spy Of Napoleon or The Hairdresser'S Husband?",comparison
307,Do director of film Mustang (Film) and director of film Erotissimo share the same nationality?,bridge_comparison
308,"Which film whose director is younger, Doughnuts And Society or Seven Deaths In The Cat'S Eye?",bridge_comparison
309,Where was the composer of film Abdulla The Great born?,compositional
310,Where was the director of film Duke'S Son born?,compositional
311,Are Sand River (Limpopo) and Dennis Creek both located in the same country?,comparison
312,"Which film has the director who was born earlier, Sprung (Film) or Woman On The Run: The Lawrencia Bembenek Story?",bridge_comparison
313,"Which film has the director who is older, The Right Person or The Curtain Falls?",bridge_comparison
314,"Which film has the director who was born later, The Mate Of The Sally Ann or The Legend Of Hercules?",bridge_comparison
315,"Which film has more directors, I Nuovi Mostri or Strapless?",comparison
316,"Who is Hermann, Prince Of Hohenlohe-Langenburg's paternal grandfather?",inference
317,Where was the director of film 00 Schneider – Jagd Auf Nihil Baxter born?,compositional
318,Where did the director of film Barry (1949 Film) die?,compositional
319,"Which film whose director was born first, Pensiero D'Amore or The Indian Fighter?",bridge_comparison
320,"Which album came out earlier, A New Breed Of Female or Wind, Sky And Diamonds?",comparison
321,"Which film was released more recently, No Path Through Fire or Bright Leaf?",comparison
322,Where did the director of film The Uninvited Guest (1923 Film) die?,compositional
323,"Which film whose director was born first, Marmalade Revolution or The King And The Chorus Girl?",bridge_comparison
324,Are The Broken Melody (1937 Film) and Harlem Rides The Range both from the same country?,comparison
325,Did Jean Goulin and Matthew Of Albano share the same nationality?,comparison
326,"Who was born first, Semih Özmert or Pita Bolatoga?",comparison
327,"Who is younger, Vedran Rožić or Joseph-Édouard-Émile Léonard?",comparison
328,"Do the movies Beyond The Reach and Mondovino, originate from the same country?",comparison
329,"Which film was released first, The Miner'S Daughter or My Kingdom For A Cook?",comparison
330,Which country the director of film Kailangan Ko'Y Ikaw is from?,compositional
331,Was Angel Koritarov or Jacek Kaspszyk born first?,comparison
332,Where does the director of film Kaneez (1949 Film) work at?,compositional
333,Where was the husband of Jeanne-Marie Grandon born?,compositional
334,"Which film was released earlier, Karla'S World or Dharti?",comparison
335,Are director of film The Beast In The Cellar and director of film Rulers Of The Sea from the same country?,bridge_comparison
336,Which country the director of film November Criminals (Film) is from?,compositional
337,Who is the spouse of the director of film California (1947 Film)?,compositional
338,Where was the place of death of the director of film Cherchez L'Idole?,compositional
339,"Which band was founded first, Spyro Gyra or Unione Philharmonic Society?",comparison
340,Are director of film Nights On The Road and director of film Swann In Love (Film) from the same country?,bridge_comparison
341,What is the place of birth of the director of film The Grasp Of Greed?,compositional
342,"Which film has the director who is older, The Love Charm or The Constant Woman?",bridge_comparison
343,Where was the director of film Timber Falls born?,compositional
344,Are South Fork Ninnescah River and Lambari River (Verde River) both located in the same country?,comparison
345,"Who is younger, Clueso or Heimrad Bäcker?",comparison
346,"Who was born earlier, Harald Punt or Russell L. Blaisdell?",comparison
347,"Which film has the director born earlier, Haiducii (Film) or My Wife'S Best Friend?",bridge_comparison
348,"Which film has the director who died later, You'Re On Your Own or Terror At Tenkiller?",bridge_comparison
349,Where did the director of film Blush (2015 Film) study?,compositional
350,Who is the mother of the director of film L'Homme Idéal?,compositional
351,Where was the father of Ole Robert Reitan born?,compositional
352,What is the place of birth of Áine Furey's father?,compositional
353,Do both films: The White Hen and Eye Of God (Film) have the directors from the same country?,bridge_comparison
354,What nationality is the director of film Daytime Wives?,compositional
355,Which country the director of film Hollow (2014 Film) is from?,compositional
356,Who is the spouse of the director of film The Net 2.0?,compositional
357,"Who lived longer, Gustav Lindau or Nafija Sarajlić?",comparison
358,Who is the maternal grandfather of Adam Coleman Howard?,inference
359,"Which film has the director who died later, Son Of Kissing Cup or Lady In A Cage?",bridge_comparison
360,Where did the director of film The Black Star (Film) die?,compositional
361,"Which film has the director who died earlier, At Ruedesheimer Castle There Is A Lime Tree or It'S All Yours?",bridge_comparison
362,Are Disaster Movie and Hacker (Film) from the same country?,comparison
363,Where did the director of film Racing Luck (1924 Film) die?,compositional
364,"Who was born earlier, Andrew Renzullo or Miriam Cárdenas Cantú?",comparison
365,Where did the director of film The Idiot Returns study?,compositional
366,Which country the director of film Littlerock (Film) is from?,compositional
367,Where was the director of film The Half-Way Girl born?,compositional
368,Who is Harith Ibn Harb's paternal grandfather?,inference
369,"Which film has the director born earlier, Life Is Hot In Cracktown or Between Maybes?",bridge_comparison
370,What nationality is the director of film Perfect Strangers (1950 Film)?,compositional
371,"Which film was released first, Talihina Sky or Plaché Příběhy?",comparison
372,"Which film has the director who is older than the other, Taming Of The Fire or The Lady Takes A Flyer? ",bridge_comparison
373,"Which film has the director who was born earlier, Father And The Boys or Valerie Inside Outside?",bridge_comparison
374,What nationality is the director of film The Hot Angel?,compositional
375,What is the place of birth of the director of film Time Raiders?,compositional
376,"Which film whose director is younger, Dallas 362 or Revenge Of The Barbarians?",bridge_comparison
377,"Which film whose director is younger, The Adventures Of God or Duel With Death?",bridge_comparison
378,"Which film has the director who is older than the other, Adieu Bonaparte or Naked Harbour? ",bridge_comparison
379,Are both Tiffany Jones (Film) and Trent'S Last Case (1920 Film) from the same country?,comparison
380,"Which film has the director who was born first, Slim Carter or Thendral Veesum?",bridge_comparison
381,"Who was born first, Jeremy Filsell or Sofjan Wanandi?",comparison
382,"Which film was released first, The Pirate'S Dream or Prem Mhanje Prem Mhanje Prem Asta?",comparison
383,"Which film was released earlier, A Nice Neighbor or The Louts?",comparison
384,"Which film whose director is younger, Hilde Warren Und Der Tod or Terror Is A Man?",bridge_comparison
385,"Who is younger, Czesław Siekierski or Georgie Auld?",comparison
386,Which country the director of film La Yuma is from?,compositional
387,"Which film has the director born earlier, Chaitrada Chandrama or Amelia Lópes O'Neill?",bridge_comparison
388,Where did the director of film The Steps (Film) graduate from?,compositional
389,Does Charles Stewart (Ice Hockey) have the same nationality as Barbara Handman?,comparison
390,"Which film was released more recently, Die Mutter or Where Are You Going All Naked??",comparison
391,What is the place of birth of the director of film Claustrophobia (2003 Film)?,compositional
392,"Which film has the director who was born later, All The Gold In The World or The Crowning Touch?",bridge_comparison
393,"Which film has the director who was born first, Nothing Underneath or A Hero On Horseback?",bridge_comparison
394,"Which country the director of film Candida, Millionairess is from?",compositional
395,Who is the father of the director of film Lila & Eve?,compositional
396,"Which film has the director who died first, A Hopeless Case or Mary Stevens, M.D.?",bridge_comparison
397,What nationality is the director of film Fúlmine?,compositional
