qid,query,type
166,Beyonce would perform with who at Superbowl 50?,Span
167,How many awards did Beyonce take home with her at the 57th Grammy Awards?,Span
168,"How many weeks did their single ""Independent Women Part I"" stay on top?",Span
169,When did Destiny's Child announce their hiatus?,Span
170,Who cited Beyoncé as being the top certified artist of the 2000s?,Span
171,When was she again on the Time 100 List and on the cover?,Span
172,How many individual colleges are part of Notre Dame?,Span
173,It was announced that Destiny's Child would  disban in what European city?,Span
174,Destiny's Child got a star on the Hollywood Walk of Fame in what year?,Span
175,Which Secretary of State attended Notre Dame?,Span
176,Where did U.S. News & World Report rank Notre Dame in its 2015-2016 university rankings?,Span
177,The Lobund Institute was merged into the Department of Biology at Notre Dame in what year?,Span
178,How many Tweets per minute did the half time show get?,Span
179,What amount of the student body of Notre Dame identifies as Catholic?,Span
180,How many chapels are on the Notre Dame campus?,Span
181,"When did Destiny's Child release its album ""Love Songs""?",Span
182,How many copies did Crazy in Love sell?,Span
183,What did Bryan Lessard name after Beyoncé?,Span
184,"Debut song, ""Killing Time"" was featured on what movie's sound track?",Span
185,"Destiny's Child song, Killing Time, was included in which film's soundtrack?",Span
186,Where did Destiny's Child get their name from?,Span
187,"Which person portrayed Knute Rockne in the 1940 movie ""Knute Rockne?""",Span
188,Which program at Notre Dame offers a Master of Education degree?,Span
189,What type of event did the Klan intend to have at Notre Dame in March of 1924?,Span
190,Where did Beyonce release her 5th album to a huge surprise?,Span
191,Where was the album released? ,Span
192,How many wins does the Notre Dame men's basketball team have?,Span
193,Who was the Notre Dame men's basketball coach in 2014?,Span
194,Which library was built at Notre Dame in 1963?,Span
195,Construction for which hall started on March 8th 2007 at Notre Dame?,Span
196,Beyonce and Jay Z got a Guinness World record for what in 2009?,Span
197,What is Beyonce's net worth in 2015?,Span
198,When did Beyonce begin her second world tour?,Span
199,Who is Beyoncé's alter ego?,Span
