qid,question,True Ans,M_RAG,IsSpan
1797,Who were the writers of Spectre?,Neal Purvis and Robert Wade,IDK,0
1798,What actor portrayed Franz Oberhauser?,Christoph Waltz.,IDK,0
1816,What was the significance of Damascus during this time period?,capital of the Arab Caliphate,IDK,0
1821,Who are othe rwell know players? ,"Marty Stuart, Vince Gill, and Ricky Skaggs",Iniesta and Xavi,1
1826,What company bought RapidMind in 2009?,Intel,IDK,0
1831,In what country was an assignation attempt made on the life of Paul VI?,Manila,IDK,0
1836,What god was Neptune? ,god of the sea,Roman god of the sea,1
1839,What did the Greeks call Neptune? ,Poseidon,,0
1842,Who wrote Muhayyelât?,Giritli Ali Aziz Efendi,IDK,0
1850,What is the view held at the Vatican regarding how Mary was actually given life into the world ?,Catholics believe that Mary was not the product of a virginal conception herself but was the daughter of a human father and mother,IDK,0
1851,Is the view of the impregnation of Mary's pregnancy the same as the one held for the birth of her first child ?,doctrine of the immaculate conception (Mary being conceived free from original sin) is not to be confused with her virginal conception of her son Jesus,Immaculate Conception,1
1852,When did these contradictory views start to emerge ?,since the 4th century,IDK,0
1854,Who were the parents of Mary believed to be ?,Saint Joachim and Saint Anne,IDK,0
1859,What events ended the war with Japan?,atomic bombings of Hiroshima and Nagasaki,the few surviving domesticated quail were used to rebuild the industry,1
1864,What cities were destroyed by atom bombs?,Hiroshima and Nagasaki,IDK,0
1883,Un what decade did Clark develop the hot water removal process?,1920s,IDK,0
1884,What is synthetic crude oil usually called?,syncrude,feedstock,1
1885,Which of the Gospels most agrees with Athanasius?,Gospel of John,The Gospel of Matthew,1
1887,When are different Gospels said?,certain Feast days,at the crucifixion,1
1893,Which battle was considered the biggest in the war?,The Battle of Gravelotte,Battle of Mohács,1
1895,What was the name of the Empire that the country is now named after?,Mali Empire (for which Mali is named),Seleucid Empire,1
1912,What has helped geneologists researching slaves?,"Colonial records of French and Spanish slave ships and sales, and plantation records in all the former colonies",IDK,0
1914,What were slaves usually not allowed to do?,learn to read and write,IDK,0
1920,What language was a source for English loanwords that are still used today?,Old Norse,Dutch,1
1921,Are quails used for any purpose other than human consumption ?,"Japanese quail are also used in biomedical research in fields such as genetics, embryology, nutrition, physiology, pathology, and toxicity studies",IDK,0
1925,What was Cnut's nationality?,Danish,IDK,0
1928,During what century did Scandinavians begin to settle in England?,9th,10th,1
1939,What were people that had black and white ancestor classified as in this census? ,Negro,mulatto,1
1944,What caused the downfall of the downfall of the the original kingdom in Myanmar?,The Pagan Kingdom fell due to the Mongol invasions and several warring states emerged,Meithei raids into Upper Myanmar and a nagging rebellion in Lan Na,1
1959,When did the Archaemenid Empire collapse?,330 BC,IDK,0
1963,Who protected airfields in WWII?,RAF Regiment,IDK,0
1971,When did the US capture Baghdad?,April 2003,IDK,0
1977,How many meters high is Guru Shikhar?,"1,722",IDK,0
1979,What percentage of Rajasthan is to the northwest of the Aravalli range?,60%,three-fifths,1
1986,Name two contributors to Reformed churches.,"John Calvin, Huldrych Zwingli",Scottish and English churches that bore that name and English political groups that formed during the English Civil War,1
2005,Where did an abortive coup occur in 1993?,Misrata,IDK,0
2012,"Along with nutrients, what do trees growing in forests have to compete for?",light,water,1
2014,What part of a tree opens and spreads out more as it matures?,crown,latewood or summerwood,1
2015,Where is the setting for To Kill a Mockingbird?,"Maycomb, Alabama",IDK,0
2016,Who is the main character of the book?,Jean Louise Finch (Scout),Scout and Jem,1
2017,What is the name of the town the story takes place in?,"Maycomb, Alabama",Hyrule,1
2018,"How many children does the protagonist, Atticus Finch, have?",two,IDK,0
2019,In what historical era does the book take place?,the Great Depression,IDK,0
2021,"What ancient philosopher was rediscovered, leading to a revival of philosophy?",Aristotle,Aristotle,1
2045,What type of memory is always kept and kept the same?,ROM,IDK,0
2069,What happened in 1900?,the state legislature passed a new constitution,"7,531 people lived in the city",1
2070,"If a carbohydrate is not a simple monosaccharide, what else could it be?",complex polysaccharides,non-digestible material such as cellulose,1
2075,What was von Hornigk's career?,Political economist and civil servant,chemical engineer,1
2086,What was the name of the highest ranking official in a province?,governor,IDK,0
2089,Emmett Till's death sparked which political movement in the '50s?,Civil Rights Movement,IDK,0
2093,What is another name for the main 18 provinces?,China proper,neidi,1
2112,What was Victorias place in line of succession to the throne when she was born?,fifth,IDK,0
2120,What drink was never rationed?,beer,beer,1
2140,What do plants need to attract to their flowering?,pollinators,electrons,1
2141, With what feature of environment do plants need to be in sync?,light cycle,fresh-water,1
2149,What species of insect has the capability to walk on the surface of water?,water striders,water striders,1
2166,Who unified two previous popes views of the Roman Catholic Mass?,Pope Benedict XVI,IDK,0
2168,What type of music was used in traditional mass?,Gregorian Chant,plainchant,1
2169,In what year were the various versions of the Catholic mass finally synthesized? ,2007,IDK,0
2183,What field does the ijazah signify expertise in?,Islamic religious law of sharīʻah,IDK,0
2197,In what time period did Kanye begin producing?,mid-1990s,IDK,0
2238,What is a notable piece of surviving Late Middle Age royal plate?,the Royal Gold Cup,IDK,0
2240,"The ""Seven Weeks War"" was between which two countries?",Prussia and Austria,IDK,0
2245,The agreement between the Nazis and the Soviets split what countries up?,"Romania, Poland, Lithuania, Latvia, Estonia, and Finland",IDK,0
2248,Salla is located in what country?,Finland,Greece,1
2249,Which countries were taken over by the Soviets?,"Estonia, Latvia, Lithuania, and parts of Romania",Soviet Socialist Republics,1
2253,Who is the other woman who earned the title?,Aretha Franklin,Creek,1
2254,A lot of modern pop artist grew up listening to whom?,"Madonna,",oldies,1
2255,What popular uprising occurred in France during this period?,the jacquerie,IDK,0
2256,What Italian city experienced a popular revolt?,Florence,IDK,0
2257,What English popular revolt took place during this period?,the Peasants' Revolt,IDK,0
2258,When did the Black Death start?,1347,IDK,0
2259,How many million people died from the Black Death?,35,IDK,0
2262,"Who was Ford going to play in E.T., until the scene was removed?",a headteacher,IDK,0
2273,What type of private  individual had several generals and politicians used to validate their actions?,diviners,IDK,0
2276,What Ottoman empire controlled lands contributed to the centre of transactions between East and West ?,lands around the Mediterranean basin,India,1
2277,When did the Ottoman empire decline?,into the late nineteenth century,IDK,0
2279,What led to the decline of the Ottoman empire?,military setbacks against European powers,a number of defeats in several wars with Russia,1
2285,"After his death, how was the emperor's afterlife decided?",vote in the Senate,IDK,0
2291,Who is the head of state appointed by the President of India?,The Governor,Lieutenant Governor of the Union Territory of Delhi,1
2294,Who presides over meetings?,the Speaker or the Deputy Speaker in the Speaker's absence,Montini,1
2305,What year did the Football Association form?,1863,IDK,0
2321,From what were countries in the empire free?,Roman religious law,Julian year,1
2322,What was Rome's policy towards government?,Autonomy and concord,IDK,0
2323,What did foreign cults gradually begin to display in similarity to Roman cults? ,Romanised,"the sphere of influence, character and functions of a divine being could expand, overlap with those of others, and be redefined as Roman",1
2324,What was Rome not demanding of in religion of foreign areas of the empire?,centralised legal requirement,IDK,0
2327,What type of climate does Nanjing enjoy?,a humid subtropical climate,IDK,0
2329,What monsoon affects Nanjing?,the East Asian monsoon,southwest monsoon,1
2333,What political party was Gladstone in?,Liberal,IDK,0
2342,What year was the Dawes act passed?,1887,IDK,0
2343,When was the Indian Appropriations Act passed?,1851,"March 3, 1871",1
2346,"Once Chopin stopped performing concerts, how did he earn his income?",publishing his works and teaching piano to affluent students,IDK,0
2354,Who wrote the book Khubilai Khan?,Rossabi,IDK,0
2360,What is the most likely outout for the common variety of pheasant ?,frequently being bred in captivity and released into the wild.,IDK,0
2370,What was India's majority religion in the 1940s?,Hindu,IDK,0
2371,What were India's two largest political parties in the 1940s?,the Indian National Congress and the Muslim League,IDK,0
2375,What ingredient makes glass colorful?,metallic salts,IDK,0
2379,What type of glass products can be used for sending information?,optical fibers,optical transmittance,1
2380,What was the main government entity that ran the territories like Tibet?,Lifan Yuan,IDK,0
2381,Who first ran Manchuria?,military generals,IDK,0
2384,When did Tibet become part of Qing China?,mid-18th century,1906,1
2399,What did augers seek to understand through observances?,divine will,IDK,0
2400,How many staterooms does the palace have?,19 state rooms,IDK,0
2402,A large bow is a large feature of the facade in which stateroom?,the Music Room,Bow Street,1
2419,Which publication did Tucker work for?,Entertainment Weekly,IDK,0
2430,What was the name of the treaty that ended the war?,The Treaty of Guadalupe Hidalgo,Treaty of Belgrade,1
2431,In which year was the treaty signed?,1848,IDK,0
2440,What group was established in response to Executive Order 9808?,President's Committee on Civil Rights,IDK,0
2446,Who ruled Kashgaria?,Yaqub Beg,IDK,0
2447,What title did the emperor hold in Mongolia?,khan,Grandiose,0
2452,When were some kinds of antimicrobials first used?,over 2000 years ago,IDK,0
2453,What type of things did Egyptians and Greeks use?,mold and plant materials and extracts,luxuries,1
2454,What methods did people use before antibiotics to treat infections?,medicinal folklore,IDK,0
2455,In which wars was France defeated?,the Revolutionary and Napoleonic Wars,Carnatic Wars,1
2456,When did the Thirteen Colonies become independent from Britain?,1783,IDK,0
2463,What violation can lead to a player being expelled from a sports team?,honor code,IDK,0
2476,What was at issue in the 2014 trial?,illegal payments allegedly made to public officials,supplying Class A drugs,1
2479,Who was the judge in this particular case?,Richard Marks,pope,1
2489,Where did the first relay runner disappear to with the torch??,a warehouse,IDK,0
2493,What type of music does Sirusho perform?,pop music combined with Armenian folk music,IDK,0
2494,What nationality is Charles Aznavour?,French-Armenian,IDK,0
2495,The Republican government declared who in charge of the fight against the imperialists?,General Villagran,IDK,0
