qid,question,True Answer,Predicted Answer,Lettuce,Haluccinot
162,What social media platform did Beyoncé upload a picture of her paper ballot on?,Tumblr,Tumblr,[],NOHALU
163,What hurricane years later after Katrina did the organization provide support for?,Ike,Hurricane Ike,[],NOHALU
164,When did Beyonce partner with C&A to sell fashion in Brazil?,"May 27, 2010","May 27, 2010",[],NOHALU
165,In 1899 Notre Dame formed which college?,School of Architecture,School of Architecture,[],NOHALU
166,Who was the Notre Dame president that preceded John Jenkins?,Malloy,Malloy,[],NOHALU
167,What movie influenced Beyonce towards empowerment themes? ,Dreamgirls,Dreamgirls,[],NOHALU
168,"Who collaborated with Beyoncé on the single, Deja Vu?",Jay Z,Jay Z,[],NOHALU
169,Who did Beyonce donate the money to earned from her shows?,Clinton Bush Haiti Fund,Clinton Bush Haiti Fund,[],NOHALU
170,When did Beyoncé release Dangerously in Love?,2003,2003,[],NOHALU
171,What language does she mainly sing?,English,English,[],NOHALU
172,The College of Science began to offer civil engineering courses beginning at what time at Notre Dame?,the 1870s,1870s,"[{'start': 4, 'end': 5, 'confidence': 0.6079421639442444, 'text': 's'}]",NOHALU
173,What songs does the trumpet section of the Band of the Fighting Irish play preceding home football games?,the Notre Dame Victory March and the Notre Dame Alma Mater,Notre Dame Victory March and the Notre Dame Alma Mater,[],NOHALU
174,In what city did Beyonce grow up?,Houston,Houston,[],NOHALU
175,What language did Beyoncé release several songs in?,Spanish,Spanish,[],NOHALU
176,Which notable astronaut is known to have attended Notre Dame?,Jim Wetherbee,Jim Wetherbee,[],NOHALU
177,What colors are the official ones used by Notre Dame in sport competition?,Navy Blue and Gold Rush,Navy Blue and Gold Rush,[],NOHALU
178,Around what time did Lobund of Notre Dame become independent?,the 1940s,1940s,[],NOHALU
179,How many departments are within the Stinson-Remick Hall of Engineering?,five,five,[],NOHALU
180,What did Vogue request?,natural pictures be used,"only ""natural pictures be used""",[],NOHALU
181,What French Magazine cover did the media criticize?,L'Officiel,L'Officiel,[],NOHALU
182,When did John Jenkins become the president of Notre Dame?,2005,"July 1, 2005",[],NOHALU
183,On what day do Notre Dame home football games occur?,Saturday,Saturday,[],NOHALU
184,Who else appeared with Beyonce in Telephone?,Lady Gaga,Lady Gaga,[],NOHALU
185,What is O'Shaughnessy Hall of Notre Dame formerly known as?,Hall of Liberal Arts,Hall of Liberal Arts,[],NOHALU
186,What was the amount of wins Knute Rockne attained at Notre Dame while head coach?,105,105,[],NOHALU
187,What kind of music does Beyonce do?,R&B,R&B,[],NOHALU
188,Forbes.com placed Notre Dame at what position compared to other US research universities?,8th,8th,"[{'start': 1, 'end': 3, 'confidence': 0.6348394751548767, 'text': 'th'}]",NOHALU
189,What was the name of the first group Beyoncé was a part of?,Girl's Tyme,Girl's Tyme,[],NOHALU
190,How large in square feet is the LaFortune Center at Notre Dame?,"83,000 square feet","83,000 square feet",[],NOHALU
191,When did Beyonce begin her deals with name brands?,since the age of 18,since the age of 18,[],NOHALU
192,What was the music hall at Notre Dame called?,Washington Hall,Washington Hall,[],NOHALU
193,What percentage of students were admitted to Notre Dame in fall 2015?,19.7%,19.7%,[],NOHALU
194,How often is Notre Dame's the Juggler published?,twice,twice a year,[],NOHALU
195,Which Notre Dame alum from the College of Science won a Nobel Prize?,Eric F. Wieschaus,Eric F. Wieschaus,[],NOHALU
196,What was the size of the Notre Dame endowment when Theodore Hesburgh became president?,$9 million,$350 million,"[{'start': 0, 'end': 4, 'confidence': 0.5822559595108032, 'text': '$350'}]",NOHALU
197,Beyonce got married in 2008 to whom?,Jay Z,Jay Z,[],NOHALU
198,Who did Beyonce donate the money to earned from her shows?,Clinton Bush Haiti Fund,Clinton Bush Haiti Fund,[],NOHALU
199,New York Times' Jon Pareles calls Beyoncé's voice velvety yet what?,tart,tart,[],NOHALU
