qid,True Answer,Predicted Answer,Jaccard,Recall,Precision,F1,EditDist,EM,Chrf++,BERT,Perp_ans
24,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0765097001369435
25,"May 22, 1998","December 31, 2008",0.14285714285714285,0.25,0.25,0.25,13,0,0.07670454680919647,0.7948125004768372,9.24185915752014
26,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.043150132868154
27,Francis Ford,John Ford,0.3333333333333333,0.5,0.5,0.5,6,0,0.20914357900619507,0.864176332950592,5.490302772904367
28,no,yes,0.0,0.0,0.0,0.0,3,0,0.0,0.7633388042449951,1.3081805817100793
29,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.174807818524673
30,3 April 1998,29 December 2012,0.0,0.0,0.0,0.0,14,0,0.0347222201526165,0.7428579330444336,7.546396726581537
31,Joseph Peter Kinneary,Joseph Peter Kinneary,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.1146157083385129
32,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0545520741561776
33,India,Austria,0.0,0.0,0.0,0.0,5,0,0.07470539212226868,0.7130532264709473,2.995599675972792
34,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.083519018749556
35,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0150897886178487
36,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0178463471334536
37,The Poor Little Rich Girl,Songs And Saddles,0.0,0.0,0.0,0.0,23,0,0.025588329881429672,0.35465845465660095,1.2456608366984967
38,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0192445656833524
39,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.101486923412086
40,Sexy Cora,Sexy Cora,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0676691367392945
41,yes,no,0.0,0.0,0.0,0.0,3,0,0.0,0.7633388042449951,1.0517620437383233
42,C. L. Franklin,Jack Johnson,0.0,0.0,0.0,0.0,11,0,0.04237288236618042,0.5187675356864929,6.3385447647353015
43,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0231341380040992
44,American,Ghana,0.0,0.0,0.0,0.0,7,0,0.05331503227353096,0.5170385241508484,1.8236364586131861
45,"February 28, 1910","August 30, 1931",0.14285714285714285,0.25,0.25,0.25,11,0,0.11092285066843033,0.8458496332168579,7.354083696659141
46,Copenhagen,Amsterdam,0.0,0.0,0.0,0.0,9,0,0.025510206818580627,0.7326443791389465,2.8136962992004877
47,Rosenda Monteros,Judith,0.0,0.0,0.0,0.0,14,0,0.018939394503831863,0.36042824387550354,15.345180831417334
48,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0306834726821612
49,Ebru Ceylan,Yvonne Strahovski,0.0,0.0,0.0,0.0,16,0,0.0446428582072258,0.32295188307762146,2.6050435562865353
50,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0398769833732484
51,yes,no,0.0,0.0,0.0,0.0,3,0,0.0,0.7633388042449951,1.012985595332874
52,yes,no,0.0,0.0,0.0,0.0,3,0,0.0,0.7633388042449951,1.026869766924908
53,26 March 1970,"December 31, 1939",0.0,0.0,0.0,0.0,13,0,0.05394695699214935,0.5371713638305664,8.2553739676125
54,yes,no,0.0,0.0,0.0,0.0,3,0,0.0,0.7633388042449951,1.021792869305815
55,yes,no,0.0,0.0,0.0,0.0,3,0,0.0,0.7633388042449951,1.1230642369204598
56,Cuore Sacro,Cuore Sacro,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0549172783747829
57,K. S. G. Venkatesh,Prithviraj,0.0,0.0,0.0,0.0,17,0,0.0267857126891613,0.48683565855026245,3.0004081109930922
58,yes,yes,1.0,1.0,1.0,1.0,0,1,0.5,1.0,1.262801523362653
59,Kerala,ód,0.0,0.0,0.0,0.0,6,0,0.0,0.49835625290870667,3.1757658788568364
60,"July 10, 1883","August 29, 1931",0.14285714285714285,0.25,0.25,0.25,10,0,0.09809379279613495,0.8476652503013611,8.008371000881079
61,29 January 1745,1 July,0.0,0.0,0.0,0.0,11,0,0.04385964944958687,0.5858432650566101,12.189496222156537
62,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.016416597937723
63,Henry V of Iron,king charles ii,0.0,0.0,0.0,0.0,14,0,0.030737705528736115,0.5294580459594727,2.5039137835284144
64,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.020075444239015
65,Forbidden Paths,Forbidden Paths,1.0,1.0,1.0,1.0,0,1,1.0,1.0000001192092896,1.1154190578261687
66,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0526034645983562
67,Hollywood,Paris,0.0,0.0,0.0,0.0,9,0,0.0,0.7345281839370728,2.966819875597277
68,"Marjorie, Countess of Carrick",elizabeth ii,0.0,0.0,0.0,0.0,25,0,0.032608695328235626,0.379122793674469,2.3775255089558427
69,Kulathupuzha,Chennai,0.0,0.0,0.0,0.0,11,0,0.022727273404598236,0.46846073865890503,6.068048324705538
70,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0160972678594409
71,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0242736015941827
72,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0246828016947118
73,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.1077217756889768
74,American,Canada,0.0,0.0,0.0,0.0,7,0,0.05183413252234459,0.5937300324440002,3.0650525424992066
75,yes,no,0.0,0.0,0.0,0.0,3,0,0.0,0.7633388042449951,1.0336856487015527
76,Graceland,St. Paul's Cathedral,0.0,0.0,0.0,0.0,17,0,0.08219955116510391,0.3899814486503601,2.580682765695142
77,24 September 1953,"December 31, 2008",0.0,0.0,0.0,0.0,13,0,0.17175741493701935,0.5092167258262634,11.393505547233925
78,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.022393127182469
79,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0403605431534237
80,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0395381994922916
81,31 August 2014,8 November 2012,0.0,0.0,0.0,0.0,11,0,0.06531403958797455,0.7718595862388611,8.485111863962455
82,The White God,The White God,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.1922396966916409
83,Graceland,St. Paul's Cathedral,0.0,0.0,0.0,0.0,17,0,0.08219955116510391,0.3899814486503601,2.580682765695142
84,Rome,Buenos Aires,0.0,0.0,0.0,0.0,10,0,0.04629629850387573,0.6365168690681458,2.111742387146553
85,17 January 1954,"January 1, 2003",0.16666666666666666,0.3333333333333333,0.25,0.28571428571428575,9,0,0.42201462388038635,0.5577489137649536,8.767783117985273
86,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0454213872914557
87,Blonde Ice,Blonde Ice,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.077646364638698
88,British,American,0.0,0.0,0.0,0.0,7,0,0.05488351359963417,0.6835518479347229,3.848331147123174
89,The Straight Way,The Straight Way,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.1235214583289619
90,Canadian,Canada,0.0,0.0,0.0,0.0,2,0,0.3304761052131653,0.825583815574646,2.7034750669183363
91,Sabhash,Sabhash,1.0,1.0,1.0,1.0,0,1,0.875,0.9999998807907104,1.0291197553973792
92,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0536148749387364
93,Munich,Vienna,0.0,0.0,0.0,0.0,6,0,0.0416666679084301,0.8275654911994934,2.7556794394441604
94,Brearley School,harvard law school,0.0,0.0,0.0,0.0,8,0,0.18895778059959412,0.35845857858657837,2.1724590326612474
95,Twilight On The Rio Grande,Twilight On The Rio Grande,1.0,1.0,1.0,1.0,0,1,1.0,1.0000001192092896,1.140081149060076
96,Los Angeles,New York City,0.0,0.0,0.0,0.0,12,0,0.02450980432331562,0.7030753493309021,2.6735229587945737
97,Hollywood,New York City,0.0,0.0,0.0,0.0,12,0,0.03989361599087715,0.56071937084198,2.322495096189473
98,Dallas Pratt,Dallas Pratt,1.0,1.0,1.0,1.0,0,1,1.0,0.9999998807907104,1.1879399861082494
99,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0313066843366074
100,Amores De Ayer,Amores De Ayer,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.1251779312998258
101,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0168485493391388
102,"April 6, 1937","May 30, 1931",0.14285714285714285,0.25,0.25,0.25,8,0,0.160246342420578,0.8521295189857483,6.111901473626938
103,"May 26, 1900","December 30, 1931",0.14285714285714285,0.25,0.25,0.25,12,0,0.11559343338012695,0.806955873966217,7.415632148236438
104,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0196469718999674
105,Wimborne,New York City,0.0,0.0,0.0,0.0,11,0,0.0745869055390358,0.42903536558151245,2.6172107933120063
106,Wimborne,New York City,0.0,0.0,0.0,0.0,11,0,0.0745869055390358,0.42903536558151245,2.617210615522361
107,22 February 2019,"December 31, 2013",0.0,0.0,0.0,0.0,11,0,0.08200220763683319,0.5059681534767151,10.633616352739265
108,"Omaha, Nebraska",New York City,0.0,0.0,0.0,0.0,15,0,0.04739408195018768,0.4583977460861206,2.656648747959844
109,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0681719948585817
110,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0170464720402475
111,Grammy Award for Best New Artist,Grammy Award,0.3333333333333333,0.3333333333333333,1.0,0.5,20,0,0.37420448660850525,0.6704216003417969,1.675218160542166
112,"June 30, 1964","December 30, 1939",0.3333333333333333,0.5,0.5,0.5,9,0,0.2967223525047302,0.8253703117370605,8.016835291161069
113,yes,no,0.0,0.0,0.0,0.0,3,0,0.0,0.7633388042449951,1.1229700924824397
114,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0479221225067716
115,Rangoon,in the city of Baghdad,0.0,0.0,0.0,0.0,21,0,0.05434783175587654,0.41652339696884155,4.464606353573688
116,31 August 1945,"December 31, 1971",0.16666666666666666,0.3333333333333333,0.25,0.28571428571428575,14,0,0.10029676556587219,0.6316663026809692,8.447260125866185
117,Brooklyn,London,0.0,0.0,0.0,0.0,6,0,0.04934210702776909,0.7117668986320496,4.877000744784267
118,Matiu Dickson,Matiu Dickson,1.0,1.0,1.0,1.0,0,1,1.0,0.9999999403953552,1.2114648876224092
119,"Portland, Oregon",New York City,0.0,0.0,0.0,0.0,15,0,0.044680967926979065,0.47579726576805115,2.538423954369468
120,American,American,1.0,1.0,1.0,1.0,0,1,0.875,1.0,3.6558334919484112
121,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0220496249331776
122,American,Austria,0.0,0.0,0.0,0.0,5,0,0.08248491585254669,0.5776832699775696,3.620040364527308
123,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.1077999793208957
124,Douglas,New York City,0.0,0.0,0.0,0.0,12,0,0.016025643795728683,0.36245477199554443,2.765300749505854
125,Fighting Trooper,Fighting Trooper,1.0,1.0,1.0,1.0,0,1,1.0,0.9999999403953552,1.1684337122007162
126,21 June 2001,18 December 2012,0.0,0.0,0.0,0.0,11,0,0.09495464712381363,0.7918177843093872,10.266573583793848
127,Transylvania,Hungary,0.0,0.0,0.0,0.0,10,0,0.04545454680919647,0.6681585907936096,3.595003097996442
128,Hollywood,New York City,0.0,0.0,0.0,0.0,12,0,0.03989361599087715,0.56071937084198,2.8981912684817708
129,Zgharta,Lahore,0.0,0.0,0.0,0.0,5,0,0.05514705553650856,0.4098825752735138,2.154017897326648
130,5 March 1953,1 January 1991,0.0,0.0,0.0,0.0,9,0,0.07467266917228699,0.765938401222229,8.202388231799212
131,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.041263736790524
132,One Hundred Nails,One Hundred Nails,1.0,1.0,1.0,1.0,0,1,1.0,0.9999998807907104,1.033254996266036
133,Washington,st. john's hospital,0.0,0.0,0.0,0.0,16,0,0.08877362310886383,0.35783442854881287,3.462552482252237
134,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0134500619018967
135,Athenian,san marino,0.0,0.0,0.0,0.0,9,0,0.07833673059940338,0.29680001735687256,3.7880088167040626
136,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.023400038237858
137,Seclusion Near A Forest,Seclusion Near A Forest,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0477008753228376
138,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0786020115510997
139,Los Angeles,New York City,0.0,0.0,0.0,0.0,12,0,0.02450980432331562,0.7030753493309021,2.673523285405751
140,Davit Khutsishvili,Davit Khutsishvili,1.0,1.0,1.0,1.0,0,1,1.0,0.9999999403953552,1.1215710963669736
141,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.061339415866087
142,La Vida Alrededor,La Vida Alrededor,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0492587150713382
143,13 July 1923,"December 30, 1931",0.0,0.0,0.0,0.0,14,0,0.06931818276643753,0.6005299091339111,8.641933904382702
144,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0426578499560406
145,Michelle King,Judith Anderson,0.0,0.0,0.0,0.0,12,0,0.04032257944345474,0.5764936804771423,7.130439325337246
146,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0225782023822165
147,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0239862137700497
148,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0564837888097993
149,Danger: Diabolik,Danger: Diabolik,1.0,1.0,1.0,1.0,0,1,1.0,1.0000001192092896,1.07390594135673
150,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0356496237589594
151,Los Angeles,New York City,0.0,0.0,0.0,0.0,12,0,0.02450980432331562,0.7030753493309021,2.644880125392901
152,yes,no,0.0,0.0,0.0,0.0,3,0,0.0,0.7633388042449951,1.063329289554742
153,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0945500927975846
154,28 September 1837,15 May 1899,0.0,0.0,0.0,0.0,13,0,0.027881568297743797,0.817210853099823,7.8684215597522265
155,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0494064701895467
156,13 October 1952,29 August 1959,0.0,0.0,0.0,0.0,10,0,0.08158864080905914,0.7962178587913513,8.42329990117013
157,Chennai,Chennai,1.0,1.0,1.0,1.0,0,1,0.875,1.0000001192092896,4.758761947007829
158,5 November 1866,15 April 1931,0.0,0.0,0.0,0.0,12,0,0.029761902987957,0.7978135347366333,7.139734659795602
159,10 May 1899,"December 31, 1931",0.0,0.0,0.0,0.0,14,0,0.036764707416296005,0.5731472373008728,7.640661478662049
160,Hilde Volk,Phyllis Diller,0.0,0.0,0.0,0.0,11,0,0.06522495299577713,0.5102786421775818,3.107004481710394
161,heart attack,he was killed in a car crash,0.0,0.0,0.0,0.0,21,0,0.10649528354406357,0.4055632948875427,1.9945762561770461
162,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0164419967586986
163,yes,no,0.0,0.0,0.0,0.0,3,0,0.0,0.7633388042449951,1.065405130511179
164,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0176964008481364
165,Isaac I Komnenos,aristotle,0.0,0.0,0.0,0.0,13,0,0.03846154361963272,0.38201186060905457,2.807900356236104
166,yes,no,0.0,0.0,0.0,0.0,3,0,0.0,0.7633388042449951,1.0147694238305252
167,Tunis,New York City,0.0,0.0,0.0,0.0,12,0,0.02016129158437252,0.4506399929523468,2.3937714676312396
168,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.013770728471625
169,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.023282953380792
170,Zehreela Insaan,Bert: The Last Virgin,0.0,0.0,0.0,0.0,16,0,0.059121619910001755,0.35851722955703735,1.0467681518102059
171,Polish,India,0.0,0.0,0.0,0.0,5,0,0.021551724523305893,0.6228998303413391,4.714685448286351
172,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0612665286373881
173,Madras,Chennai,0.0,0.0,0.0,0.0,6,0,0.02016128972172737,0.8682344555854797,5.531994740346151
174,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0134500619018967
175,Flowers From Nice,Flowers From Nice,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.1270371128385854
176,Bruno Millienne,Eupremio Carruezzo,0.0,0.0,0.0,0.0,14,0,0.06056103855371475,0.45409026741981506,1.0551885332365658
177,"November 21, 1972",18 April 1912,0.0,0.0,0.0,0.0,12,0,0.05348377674818039,0.616949200630188,6.770248707390978
178,Rangoon,in the city of Baghdad,0.0,0.0,0.0,0.0,21,0,0.05434783175587654,0.41652339696884155,4.464606356420473
179,"October 26, 1912","August 29, 1931",0.14285714285714285,0.25,0.25,0.25,10,0,0.11572229862213135,0.8612486124038696,8.454643968085861
180,Mumbai,Mumbai,1.0,1.0,1.0,1.0,0,1,0.875,0.9999998807907104,5.735525517605299
181,"July 21, 1899","December 30, 1931",0.14285714285714285,0.25,0.25,0.25,13,0,0.08519695699214935,0.8013001680374146,6.862411408533541
182,Hollywood,New York City,0.0,0.0,0.0,0.0,12,0,0.03989361599087715,0.56071937084198,2.8164466431151234
183,Swiss,American,0.0,0.0,0.0,0.0,7,0,0.0223214291036129,0.5615569949150085,2.92948980339374
184,Last Plane Out,The Negro,0.0,0.0,0.0,0.0,12,0,0.011160715483129025,0.34693193435668945,1.188980578095042
185,10 November 2002,"January 1, 2003",0.0,0.0,0.0,0.0,12,0,0.07541432976722717,0.6312347650527954,9.35247266484907
186,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0178463471334536
187,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0123475512049562
188,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0311906524233732
189,"November 28, 2009","December 31, 2008",0.14285714285714285,0.25,0.25,0.25,6,0,0.26777392625808716,0.8724352717399597,10.211609208412268
190,Chrissie White,Judith Anderson,0.0,0.0,0.0,0.0,14,0,0.0670640841126442,0.5515758395195007,6.072261385181002
191,21 June 2001,18 December 2012,0.0,0.0,0.0,0.0,11,0,0.09495464712381363,0.7918177843093872,10.266575481818931
192,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0395381994922916
193,yes,no,0.0,0.0,0.0,0.0,3,0,0.0,0.7633388042449951,1.01450870315327
194,Raizdos,king euclid,0.0,0.0,0.0,0.0,11,0,0.032894738018512726,0.3689710199832916,3.886027406123004
195,Buenos Aires,Buenos Aires,1.0,1.0,1.0,1.0,0,1,1.0,0.9999999403953552,2.0475406303793857
196,Chuck Turner,Mohamed Abdelaziz,0.0,0.0,0.0,0.0,15,0,0.02083333395421505,0.389543741941452,1.122113494421397
197,5 October 2013,28 December 2012,0.0,0.0,0.0,0.0,7,0,0.2600134313106537,0.8453988432884216,8.355169963586869
198,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.023282953380792
199,Hollywood,Paris,0.0,0.0,0.0,0.0,9,0,0.0,0.7345281839370728,5.413523779749981
